msi_version,outcome,outcome_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
msi_ranknorm,peak_delta_2h,2h peak delta,msi_centered,14.262550404153462,3.352952840914386,4.253728304828741,2.1024037318278907e-05,7.690762835961266,20.834337972345658,1498,40,7,9.460816793225508e-05,"14.263 (7.691, 20.834)"
msi_ranknorm,peak_delta_2h,2h peak delta,carbs_x_msi,0.41943226308436954,0.32393836054792113,1.2947903495434334,0.19539256198248206,-0.2154869235895559,1.054351449758295,1498,40,7,0.2523047130271976,"0.419 (-0.215, 1.054)"
msi_no_bmi,iauc_2h_per1000,2h iAUC / 1000,msi_centered,1.109493136909973,0.2769086753291216,4.0067113664506095,6.157002734086748e-05,0.5667521332648946,1.6522341405550514,1498,40,7,0.00022165209842712292,"1.109 (0.567, 1.652)"
msi_no_bmi,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.05485988081564633,0.02465511970335778,2.225090832074726,0.026075141081724065,0.0065358461970650775,0.10318391543422759,1498,40,7,0.05215028216344813,"0.055 (0.007, 0.103)"
msi_no_bmi,peak_delta_2h,2h peak delta,msi_centered,17.81964151424401,3.8972334959007497,4.572382315041517,4.8221006627990935e-06,10.181063862278542,25.45821916620948,1498,40,7,4.3398905965191844e-05,"17.820 (10.181, 25.458)"
msi_no_bmi,peak_delta_2h,2h peak delta,carbs_x_msi,0.7098131202686939,0.34368501691568204,2.0653013233999546,0.0388944984402991,0.036190487113957115,1.3834357534234307,1498,40,7,0.07226613131285542,"0.710 (0.036, 1.383)"
msi_glycemia_ir,iauc_2h_per1000,2h iAUC / 1000,msi_centered,1.400825031424855,0.23784831389476568,5.889573100125655,3.871945105166221e-09,0.9346423361911143,1.8670077266585956,1498,40,7,6.969501189299198e-08,"1.401 (0.935, 1.867)"
msi_glycemia_ir,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.06841536851441694,0.024077576402394985,2.8414557749097913,0.004490808016848245,0.021223318765722775,0.1156074182631111,1498,40,7,0.010777939240435788,"0.068 (0.021, 0.116)"
msi_glycemia_ir,peak_delta_2h,2h peak delta,msi_centered,22.00527044125706,3.2393042301375856,6.793208935587508,1.0966637274499037e-11,15.656234150187393,28.354306732326727,1498,40,7,3.9479894188196535e-10,"22.005 (15.656, 28.354)"
msi_glycemia_ir,peak_delta_2h,2h peak delta,carbs_x_msi,0.8073704416216314,0.3222673212159816,2.505281759798837,0.012235388062170489,0.17572649203830748,1.4390143912049553,1498,40,7,0.0275296231398836,"0.807 (0.176, 1.439)"
msi_ir_lipid,iauc_2h_per1000,2h iAUC / 1000,msi_centered,0.45393960949300904,0.22119393481647262,2.0522244873922446,0.04014785072936412,0.02039949725272272,0.8874797217332954,1498,40,7,0.07226613131285542,"0.454 (0.020, 0.887)"
msi_ir_lipid,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.016064250284350916,0.019662586075413685,0.8169958022173814,0.41393082697560146,-0.022474418423459906,0.05460291899216174,1498,40,7,0.4515609021552016,"0.016 (-0.022, 0.055)"
msi_ir_lipid,peak_delta_2h,2h peak delta,msi_centered,7.638549816684371,3.2643835935020187,2.3399669793370586,0.019285444917461717,1.2403579734204149,14.036741659948326,1498,40,7,0.040839765707565985,"7.639 (1.240, 14.037)"
msi_ir_lipid,peak_delta_2h,2h peak delta,carbs_x_msi,0.2713717950082681,0.29515256707121257,0.9194288828353412,0.35787128781632477,-0.3071272364513085,0.8498708264678447,1498,40,7,0.40260519879336537,"0.271 (-0.307, 0.850)"
msi_pca,iauc_2h_per1000,2h iAUC / 1000,msi_centered,1.1662332143505953,0.2615505702496607,4.4589205568826635,8.237344247965541e-06,0.6535940966612603,1.6788723320399304,1498,40,7,5.306104877946816e-05,"1.166 (0.654, 1.679)"
msi_pca,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.04915782383175029,0.026723624995093138,1.839489359724828,0.06584324149564494,-0.0032204811586322574,0.10153612882213284,1498,40,7,0.11287412827824846,"0.049 (-0.003, 0.102)"
msi_pca,peak_delta_2h,2h peak delta,msi_centered,18.772646043669727,3.7594812603623855,4.993413916328495,5.932123290421813e-07,11.404062773359453,26.141229313980002,1498,40,7,7.1185479485061754e-06,"18.773 (11.404, 26.141)"
msi_pca,peak_delta_2h,2h peak delta,carbs_x_msi,0.5812779288661003,0.3756791149888466,1.5472724079520834,0.12179757223291572,-0.155053136512039,1.3176089942442397,1498,40,7,0.18470101825476717,"0.581 (-0.155, 1.318)"
homa_ir_single,iauc_2h_per1000,2h iAUC / 1000,msi_centered,0.6304316918848046,0.16437626405129507,3.835296388583651,0.00012541296571718706,0.3082542143442663,0.9526091694253429,1498,40,7,0.00032249048327276673,"0.630 (0.308, 0.953)"
