outcome,outcome_label,load_variable,load_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,msi_centered,15.56088709110241,3.561625333947406,4.3690409945102315,1.2479334130569626e-05,8.580101436565496,22.541672745639325,1497,40,7,3.403454762882625e-05,"15.561 (8.580, 22.542)"
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,load_x_msi,0.9348520148502623,0.4421259050574426,2.114447500489262,0.03447706427245127,0.06828524093767474,1.8014187887628497,1497,40,7,0.050987207726864554,"0.935 (0.068, 1.801)"
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,baseline_glucose_z,-8.38578603922389,1.7812647161167443,-4.70777081213699,2.504404470601839e-06,-11.877064882812707,-4.894507195635071,1497,40,7,7.96855967918767e-06,"-8.386 (-11.877, -4.895)"
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_sin,14.857311399836433,3.753938349954041,3.957793126788651,7.56454281300531e-05,7.499592233926513,22.215030565746353,1497,40,7,0.00016899510539692712,"14.857 (7.500, 22.215)"
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_cos,6.520155320467197,2.9247188578845744,2.2293272062338234,0.02579214172271761,0.7877063590134306,12.252604281920963,1497,40,7,0.039535399720954,"6.520 (0.788, 12.253)"
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,Intercept,0.1596153417801292,0.03937784554816831,4.053430033008849,5.047209997713641e-05,0.08243476450571932,0.2367959190545391,1497,40,7,0.00011909147185616458,"0.160 (0.082, 0.237)"
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,available_carbs_10g,0.024410288304701478,0.004285125277302304,5.696516840242521,1.2227981866327537e-08,0.01601144276118896,0.032809133848213996,1497,40,7,5.1357523838575653e-08,"0.024 (0.016, 0.033)"
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,msi_centered,0.11433087177371395,0.03118039664844327,3.6667548865008457,0.0002456480548397868,0.05321729434276515,0.17544444920466276,1497,40,7,0.0004732668946454608,"0.114 (0.053, 0.175)"
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,load_x_msi,0.007148631016749434,0.004870222684795708,1.4678242617255803,0.14215196538115174,-0.002397005445450155,0.016694267478949025,1497,40,7,0.18314056889596236,"0.007 (-0.002, 0.017)"
high_iauc_population,High iAUC population Q4,available_carbs_10g,Available carbohydrate per 10 g,baseline_glucose_z,-0.03344137010532754,0.017046330603074616,-1.9617928857542972,0.049786602299923446,-0.06685217808735379,-3.0562123301297595e-05,1497,40,7,0.07112371757131922,"-0.033 (-0.067, -0.000)"
