left_out_subject,outcome,term,estimate,se,p_value,n,n_clusters
26,peak_delta_2h,load_x_msi,0.4762292513339812,0.3927023362296262,0.22524538893678273,1466,39
27,iauc_2h_per1000,carbs_10g,0.17480116420153205,0.01964849841844463,5.76804440084595e-19,1463,39
27,iauc_2h_per1000,msi_centered,1.0539871558190403,0.2783442437750636,0.00015270313540675408,1463,39
27,iauc_2h_per1000,load_x_msi,0.051976368512343336,0.026752477706108047,0.05203285163513119,1463,39
27,peak_delta_2h,carbs_10g,2.410902104695425,0.28900001984417495,7.290788339487025e-17,1463,39
27,peak_delta_2h,msi_centered,17.037424440427245,4.068698399733668,2.8212039720194426e-05,1463,39
27,peak_delta_2h,load_x_msi,0.6314584531846635,0.3852743489177323,0.10121661373715958,1463,39
29,iauc_2h_per1000,carbs_10g,0.17900739407461924,0.02052372696755115,2.7339533833074038e-18,1468,39
29,iauc_2h_per1000,msi_centered,1.0973471101661738,0.2770900835566619,7.487008704915176e-05,1468,39
29,iauc_2h_per1000,load_x_msi,0.04232882580382116,0.02772708753122651,0.12685463852148926,1468,39
29,peak_delta_2h,carbs_10g,2.468572586046543,0.3046983698394294,5.419966923425319e-16,1468,39
29,peak_delta_2h,msi_centered,17.758559031195283,4.018894276415806,9.926540743429288e-06,1468,39
29,peak_delta_2h,load_x_msi,0.4974631536858879,0.40057171983302337,0.2142797843190089,1468,39
30,iauc_2h_per1000,carbs_10g,0.1827055840013183,0.01997030960125205,5.753703812448053e-20,1471,39
30,iauc_2h_per1000,msi_centered,0.9614250745235398,0.25838806179927815,0.00019854770836156858,1471,39
30,iauc_2h_per1000,load_x_msi,0.042715368610359454,0.028553302187329967,0.13465704535952286,1471,39
30,peak_delta_2h,carbs_10g,2.535897994683056,0.29723522171359773,1.443122779452039e-17,1471,39
30,peak_delta_2h,msi_centered,15.71406665978422,3.7507475870792297,2.794680962606468e-05,1471,39
30,peak_delta_2h,load_x_msi,0.5773826166214558,0.40289379124158403,0.15183243564398943,1471,39
31,iauc_2h_per1000,carbs_10g,0.1800169934511024,0.020064156953250832,2.909969684888056e-19,1444,39
31,iauc_2h_per1000,msi_centered,1.0391180646798759,0.2751747474781338,0.00015923175393169813,1444,39
31,iauc_2h_per1000,load_x_msi,0.04092058430299092,0.027007450166947503,0.12973211404507434,1444,39
31,peak_delta_2h,carbs_10g,2.474478245125801,0.30088062044728453,1.9662960782923758e-16,1444,39
31,peak_delta_2h,msi_centered,16.771451791638153,4.005564070944485,2.8261764799789436e-05,1444,39
31,peak_delta_2h,load_x_msi,0.4868092470010771,0.39411640218206967,0.21675922589931867,1444,39
33,iauc_2h_per1000,carbs_10g,0.1814328636223815,0.0201024864264903,1.7904962269224817e-19,1465,39
33,iauc_2h_per1000,msi_centered,1.084493279877647,0.2660389411282315,4.572934115386227e-05,1465,39
33,iauc_2h_per1000,load_x_msi,0.043434818469273294,0.02720442918101271,0.11035303908188301,1465,39
33,peak_delta_2h,carbs_10g,2.559090318576823,0.2905450798661195,1.275187263796786e-18,1465,39
33,peak_delta_2h,msi_centered,17.5231266429152,3.873763842754009,6.081374948122038e-06,1465,39
33,peak_delta_2h,load_x_msi,0.4915443059830008,0.39253159875127747,0.210481926496342,1465,39
34,iauc_2h_per1000,carbs_10g,0.18072096053013909,0.01997442725364796,1.4612275137014109e-19,1449,39
34,iauc_2h_per1000,msi_centered,1.0534372994998324,0.2822412440229165,0.0001896637872710523,1449,39
34,iauc_2h_per1000,load_x_msi,0.03248542154663537,0.02673876912967284,0.22439723040466408,1449,39
34,peak_delta_2h,carbs_10g,2.4876770226238296,0.29979418083341763,1.0592353432008162e-16,1449,39
34,peak_delta_2h,msi_centered,16.924683366368416,4.141023096880427,4.368407520264145e-05,1449,39
34,peak_delta_2h,load_x_msi,0.37786064830575805,0.3947934025794703,0.3385118201478603,1449,39
35,iauc_2h_per1000,carbs_10g,0.17837427901226438,0.019628463936373707,1.0131330855135151e-19,1471,39
35,iauc_2h_per1000,msi_centered,1.0468929320556852,0.2813829673781701,0.0001988074720930333,1471,39
35,iauc_2h_per1000,load_x_msi,0.03173686932064535,0.026152504607107822,0.2249269535839358,1471,39
35,peak_delta_2h,carbs_10g,2.4775846383562925,0.29710892202992123,7.493562026837607e-17,1471,39
35,peak_delta_2h,msi_centered,16.75664292508943,4.086983378729707,4.131453017930654e-05,1471,39
35,peak_delta_2h,load_x_msi,0.4129862661199758,0.3979173803007672,0.2993308691502456,1471,39
36,iauc_2h_per1000,carbs_10g,0.1815908869639803,0.020256182326426824,3.110863290974709e-19,1468,39
36,iauc_2h_per1000,msi_centered,1.0782118588537084,0.26756001902849963,5.5825665896769374e-05,1468,39
36,iauc_2h_per1000,load_x_msi,0.04310544084447996,0.027200923604284735,0.11303336526688643,1468,39
36,peak_delta_2h,carbs_10g,2.4906096677847858,0.3006259627209033,1.1836166653496881e-16,1468,39
36,peak_delta_2h,msi_centered,17.310751132215472,3.9076686516523247,9.425780351685392e-06,1468,39
36,peak_delta_2h,load_x_msi,0.5143469265713916,0.39019813487838745,0.1874472165530711,1468,39
39,iauc_2h_per1000,carbs_10g,0.18297333639405,0.01984407938364422,2.955787297806121e-20,1465,39
39,iauc_2h_per1000,msi_centered,0.9696645291074395,0.2515504748184712,0.00011584731629604588,1465,39
39,iauc_2h_per1000,load_x_msi,0.039660750528344044,0.02820718979477096,0.1597089483950867,1465,39
39,peak_delta_2h,carbs_10g,2.526278315219542,0.2974374132372239,2.005423466140429e-17,1465,39
39,peak_delta_2h,msi_centered,15.816704711862107,3.643976278922863,1.421543104409447e-05,1465,39
39,peak_delta_2h,load_x_msi,0.49906284033184056,0.4046911878818712,0.21750330528829886,1465,39
41,iauc_2h_per1000,carbs_10g,0.18104199159914713,0.02010701843281752,2.1779825723838674e-19,1450,39
41,iauc_2h_per1000,msi_centered,1.0619876376172304,0.2662951733572172,6.663004204795627e-05,1450,39
41,iauc_2h_per1000,load_x_msi,0.04310917277256145,0.027244218206657185,0.11357568786858636,1450,39
41,peak_delta_2h,carbs_10g,2.5088263090456286,0.29821735699862123,4.005281709619462e-17,1450,39
41,peak_delta_2h,msi_centered,17.21612348881696,3.8981107160907715,1.0029791869724601e-05,1450,39
