left_out_subject,outcome,term,estimate,se,p_value,n,n_clusters
14,peak_delta_2h,carbs_10g,2.416296644528174,0.2898132227826159,7.592436825597321e-17,1459,39
14,peak_delta_2h,msi_centered,17.72295340474345,4.025625625908583,1.069938508258583e-05,1459,39
14,peak_delta_2h,load_x_msi,0.4300399865614867,0.38684506205590996,0.26628458128987187,1459,39
15,iauc_2h_per1000,carbs_10g,0.1794333324936871,0.020020208565291266,3.1708084612678797e-19,1447,39
15,iauc_2h_per1000,msi_centered,1.0295329566789213,0.2794943886393151,0.0002300036156962542,1447,39
15,iauc_2h_per1000,load_x_msi,0.04334871176620469,0.027710896018484577,0.11774241293897089,1447,39
15,peak_delta_2h,carbs_10g,2.473765265493114,0.29886130977908015,1.2599757474122297e-16,1447,39
15,peak_delta_2h,msi_centered,16.75121884019223,4.077055695031991,3.979685555711711e-05,1447,39
15,peak_delta_2h,load_x_msi,0.5146002530275801,0.4051302107494811,0.20401000525386,1447,39
17,iauc_2h_per1000,carbs_10g,0.17960811432186133,0.020279733095334977,8.254186407981906e-19,1451,39
17,iauc_2h_per1000,msi_centered,1.0559360586924083,0.2794028844283953,0.00015729531283652825,1451,39
17,iauc_2h_per1000,load_x_msi,0.04399166422655669,0.02821577991770728,0.11896900868384265,1451,39
17,peak_delta_2h,carbs_10g,2.472384012301089,0.30169638282459527,2.5071642029458237e-16,1451,39
17,peak_delta_2h,msi_centered,16.864589458497996,4.082507003095185,3.6128365582306456e-05,1451,39
17,peak_delta_2h,load_x_msi,0.564548338223412,0.4006502069065606,0.1588114072240524,1451,39
18,iauc_2h_per1000,carbs_10g,0.1862742616034673,0.01996102558829288,1.0399139361234048e-20,1459,39
18,iauc_2h_per1000,msi_centered,1.055059843300188,0.2689245475651634,8.73602392793985e-05,1459,39
18,iauc_2h_per1000,load_x_msi,0.043208232271903825,0.02702582056563583,0.10987039205543606,1459,39
18,peak_delta_2h,carbs_10g,2.573081266118816,0.29838500821668157,6.501779978586769e-18,1459,39
18,peak_delta_2h,msi_centered,17.163570051013053,3.922422871600842,1.2101166709538572e-05,1459,39
18,peak_delta_2h,load_x_msi,0.5129829305721622,0.39309819911586735,0.19190170015149224,1459,39
19,iauc_2h_per1000,carbs_10g,0.18035938451880168,0.020341283044014613,7.536782628409345e-19,1451,39
19,iauc_2h_per1000,msi_centered,1.0729417107827492,0.2742172522178554,9.125353057327905e-05,1451,39
19,iauc_2h_per1000,load_x_msi,0.04066029435515036,0.02680083290753379,0.1292343670495044,1451,39
19,peak_delta_2h,carbs_10g,2.4841469541308006,0.3035279215148948,2.7401550265024954e-16,1451,39
19,peak_delta_2h,msi_centered,17.41279155469178,3.989920442489354,1.2759162357036043e-05,1451,39
19,peak_delta_2h,load_x_msi,0.4733114385354569,0.389363124108588,0.2241357436843486,1451,39
20,iauc_2h_per1000,carbs_10g,0.17989456598339254,0.020796925211406806,5.1474202889130546e-18,1457,39
20,iauc_2h_per1000,msi_centered,1.043399477479294,0.2709481303311211,0.00011767510809472761,1457,39
20,iauc_2h_per1000,load_x_msi,0.043245068293998705,0.027822157286272433,0.12010353973436146,1457,39
20,peak_delta_2h,carbs_10g,2.4756876011072064,0.308574706897094,1.0321315867345621e-15,1457,39
20,peak_delta_2h,msi_centered,17.05235565370017,3.961769305489119,1.6756954451320862e-05,1457,39
20,peak_delta_2h,load_x_msi,0.5013632591635441,0.4019314649527323,0.21225638327904317,1457,39
21,iauc_2h_per1000,carbs_10g,0.1799463735809266,0.021389505875524784,4.002193759985175e-17,1460,39
21,iauc_2h_per1000,msi_centered,1.0640700717690137,0.26928855107482824,7.769136870400789e-05,1460,39
21,iauc_2h_per1000,load_x_msi,0.04238121386884665,0.02822926278891295,0.133272291928393,1460,39
21,peak_delta_2h,carbs_10g,2.5512673797168484,0.30752211944027397,1.0748752708528557e-16,1460,39
21,peak_delta_2h,msi_centered,17.598901506897334,3.9122566094076583,6.846626306359119e-06,1460,39
21,peak_delta_2h,load_x_msi,0.4251280134027746,0.4000952135408455,0.28797831056888207,1460,39
22,iauc_2h_per1000,carbs_10g,0.17971051302073437,0.01999315985682872,2.503999955592075e-19,1457,39
22,iauc_2h_per1000,msi_centered,1.0873328058120335,0.27973901521395306,0.00010150979919067016,1457,39
22,iauc_2h_per1000,load_x_msi,0.039416508003541864,0.028108136288973032,0.16082070544840818,1457,39
22,peak_delta_2h,carbs_10g,2.487724265830666,0.2978595273023938,6.711381172735383e-17,1457,39
22,peak_delta_2h,msi_centered,17.93763470141576,4.032992443822952,8.678519792523938e-06,1457,39
22,peak_delta_2h,load_x_msi,0.46514776471676167,0.4070130404476213,0.2531081073996371,1457,39
23,iauc_2h_per1000,carbs_10g,0.1751330649021371,0.019627347569870952,4.54191943046768e-19,1457,39
23,iauc_2h_per1000,msi_centered,1.086338548447261,0.2631354791855155,3.652356670018473e-05,1457,39
23,iauc_2h_per1000,load_x_msi,0.04459469402600543,0.027163651955756676,0.10065122524482627,1457,39
23,peak_delta_2h,carbs_10g,2.4266761414376568,0.291862783246701,9.218508444644002e-17,1457,39
23,peak_delta_2h,msi_centered,17.730880601469938,3.834863184268974,3.7713339108899553e-06,1457,39
23,peak_delta_2h,load_x_msi,0.5251856515305432,0.3896556673924332,0.17771632497418835,1457,39
26,iauc_2h_per1000,carbs_10g,0.1823765009518592,0.020561284424334542,7.32127607826021e-19,1466,39
26,iauc_2h_per1000,msi_centered,1.058152293661271,0.27055846035901165,9.191736740416138e-05,1466,39
26,iauc_2h_per1000,load_x_msi,0.04272951216576459,0.027218582050965612,0.11644641179527497,1466,39
26,peak_delta_2h,carbs_10g,2.451357916767919,0.3030582173392784,6.028707576394241e-16,1466,39
26,peak_delta_2h,msi_centered,17.3323588088383,3.94846693504813,1.1353708706596214e-05,1466,39
