figure,group,format,path,exists,bytes,status,width_px,height_px,pixel_sd_64
EDFigure2_NHANES_Table1_by_Quartile,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.tiff,True,2130106,ok,4365.0,3549.0,54.280964955496714
EDFigure3_NHANES_Reproducibility,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.pdf,True,17070,ok,,,
EDFigure3_NHANES_Reproducibility,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.svg,True,22304,ok,,,
EDFigure3_NHANES_Reproducibility,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.png,True,285093,ok,5829.0,2769.0,18.729068491349214
EDFigure3_NHANES_Reproducibility,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.tiff,True,1213356,ok,5829.0,2769.0,18.729068491349214
EDFigure4_NHANES_EffectModification,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.pdf,True,32743,ok,,,
EDFigure4_NHANES_EffectModification,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.svg,True,67220,ok,,,
EDFigure4_NHANES_EffectModification,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.png,True,733516,ok,5341.0,4509.0,37.407424582457814
EDFigure4_NHANES_EffectModification,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.tiff,True,4355818,ok,5341.0,4509.0,37.40709825460629
EDFigure5_NHANES_Sensitivity,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.pdf,True,24228,ok,,,
EDFigure5_NHANES_Sensitivity,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.svg,True,26228,ok,,,
EDFigure5_NHANES_Sensitivity,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.png,True,991920,ok,5258.0,4569.0,12.264560065234708
