figure,group,format,path,bytes,width_px,height_px,mode
EDFigure1_DatasetFlow,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.png,389397,6189.0,2829.0,RGBA
EDFigure1_DatasetFlow,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.tiff,1643516,6189.0,2829.0,RGBA
EDFigure2_NHANES_Table1_by_Quartile,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.pdf,28631,,,
EDFigure2_NHANES_Table1_by_Quartile,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.svg,31790,,,
EDFigure2_NHANES_Table1_by_Quartile,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.png,313274,4365.0,3550.0,RGBA
EDFigure2_NHANES_Table1_by_Quartile,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.tiff,2130106,4365.0,3549.0,RGBA
EDFigure3_NHANES_Reproducibility,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.pdf,17070,,,
EDFigure3_NHANES_Reproducibility,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.svg,22304,,,
EDFigure3_NHANES_Reproducibility,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.png,285093,5829.0,2769.0,RGBA
EDFigure3_NHANES_Reproducibility,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure3_NHANES_Reproducibility.tiff,1213356,5829.0,2769.0,RGBA
EDFigure4_NHANES_EffectModification,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.pdf,32743,,,
EDFigure4_NHANES_EffectModification,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.svg,67220,,,
EDFigure4_NHANES_EffectModification,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.png,733516,5341.0,4509.0,RGBA
EDFigure4_NHANES_EffectModification,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure4_NHANES_EffectModification.tiff,4355818,5341.0,4509.0,RGBA
EDFigure5_NHANES_Sensitivity,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.pdf,24228,,,
EDFigure5_NHANES_Sensitivity,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.svg,26228,,,
EDFigure5_NHANES_Sensitivity,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.png,991920,5258.0,4569.0,RGBA
EDFigure5_NHANES_Sensitivity,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure5_NHANES_Sensitivity.tiff,1912508,5258.0,4569.0,RGBA
EDFigure6_DEHP_MixtureProxy,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.pdf,21955,,,
EDFigure6_DEHP_MixtureProxy,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.svg,20696,,,
EDFigure6_DEHP_MixtureProxy,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.png,541094,4869.0,4569.0,RGBA
EDFigure6_DEHP_MixtureProxy,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure6_DEHP_MixtureProxy.tiff,1345336,4869.0,4569.0,RGBA
EDFigure7_MSI_Robustness,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.pdf,25950,,,
EDFigure7_MSI_Robustness,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure7_MSI_Robustness.svg,58248,,,
