outcome,outcome_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
ln_HOMA_IR,ln(HOMA-IR),clr_MEHHP,-0.042212985166131034,0.06399132109295079,-0.6596673493396774,0.5094673238865771,-0.16763597450831458,0.08321000417605251,1292,60,28,joint_DEHP_composition_proxy,0.7395493411256765
ln_HOMA_IR,ln(HOMA-IR),clr_MEOHP,-0.044166561665447635,0.0907071134480677,-0.48691398046454426,0.626319291045329,-0.22195250402366032,0.13361938069276505,1292,60,28,joint_DEHP_composition_proxy,0.8025408224312006
ln_HOMA_IR,ln(HOMA-IR),clr_MECPP,-0.14439108491927755,0.10469595102065048,-1.3791467913672948,0.16784949952852102,-0.34959514891975246,0.06081297908119737,1292,60,28,joint_DEHP_composition_proxy,0.35967749898968787
HbA1c,HbA1c,ln_Sigma_DEHP,0.04827603678458692,0.02977347749808183,1.621444347160896,0.10492237639757641,-0.010079979111653467,0.1066320526808273,2671,60,29,joint_DEHP_composition_proxy,0.31191809622670336
HbA1c,HbA1c,pct_oxidative_10,-0.08962837364291446,0.048484355330106095,-1.8486040091216849,0.06451501337678577,-0.1846577100899224,0.005400962804093495,2671,60,29,joint_DEHP_composition_proxy,0.2639250547232145
HbA1c,HbA1c,ln_oxidative_to_MEHP,0.06376023945033445,0.32010003843735013,0.1991884779570671,0.8421153120923298,-0.5636358358868717,0.6911563147875407,2671,60,29,joint_DEHP_composition_proxy,0.8720296732822895
HbA1c,HbA1c,ilr_primary_vs_oxidative,-0.0763119176005774,0.18361770754102158,-0.41560216943416933,0.6777011389419028,-0.4362026243809797,0.28357878917982493,2671,60,29,joint_DEHP_composition_proxy,0.8025408224312006
HbA1c,HbA1c,ilr_mehpp_vs_meohp_meccp,-0.021965509965923804,0.043928774479009496,-0.5000255578816475,0.6170570814790535,-0.10806590794478242,0.06413488801293481,2671,60,29,joint_DEHP_composition_proxy,0.8025408224312006
HbA1c,HbA1c,clr_MEHP,-0.05723393820088772,0.13771328065565838,-0.4156021694377962,0.6777011389392484,-0.32715196828597815,0.21268409188420268,2671,60,29,joint_DEHP_composition_proxy,0.8025408224312006
HbA1c,HbA1c,clr_MEHHP,0.004434306089712241,0.06508915345794211,0.06812665174048552,0.9456848146177821,-0.1231404346878543,0.13200904686727877,2671,60,29,joint_DEHP_composition_proxy,0.9456848146177821
HbA1c,HbA1c,clr_MEOHP,0.10447103692644637,0.06834426058158664,1.528600002947329,0.12636363529911954,-0.029483713813463444,0.2384257876663562,2671,60,29,joint_DEHP_composition_proxy,0.334491975791787
HbA1c,HbA1c,clr_MECPP,-0.05167140481508047,0.09535459099412556,-0.5418869115411942,0.587896413803981,-0.2385664031635666,0.13522359353340563,2671,60,29,joint_DEHP_composition_proxy,0.8016769279145196
