outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
prolonged_elevation_flag,baseline_glucose,-0.1576622173557656,0.015283256589376074,-10.316009316061743,5.9651207460248e-25,-0.1876174002709427,-0.1277070344405885,1498,40,17,curve_shape_lpm_or_linear,6.084423160945295e-23
prolonged_elevation_flag,meal_hour_sin,0.023355389204125505,0.06821877775382464,0.3423601239002864,0.7320798937860333,-0.11035341519337077,0.15706419360162177,1498,40,17,curve_shape_lpm_or_linear,0.87849587254324
prolonged_elevation_flag,meal_hour_cos,0.01334620920543108,0.034717706752340614,0.3844208173263431,0.7006665736863558,-0.05470049602915652,0.08139291444001867,1498,40,17,curve_shape_lpm_or_linear,0.8580337626252599
prolonged_elevation_flag,meal_type_Dinner,0.09906429763881996,0.19977013916274936,0.4958914182770527,0.6199710211792759,-0.29248517512016875,0.4906137703978087,1498,40,17,curve_shape_lpm_or_linear,0.8133932118418133
prolonged_elevation_flag,meal_type_Lunch,0.20039402897522202,0.08553325821442434,2.34287846807907,0.019135615134502727,0.03274884287495031,0.36803921507549375,1498,40,17,curve_shape_lpm_or_linear,0.06296234657158963
prolonged_elevation_flag,meal_type_Snack,-0.3667399369940497,0.11342924571318438,-3.233204405867101,0.0012240994250291158,-0.5890612585918911,-0.14441861539620834,1498,40,17,curve_shape_lpm_or_linear,0.007803633834560613
prolonged_elevation_flag,meal_type_Snacks,-0.2772415256188996,0.16386996586453473,-1.6918385511112204,0.0906767609119333,-0.5984266587133876,0.04394360747558845,1498,40,17,curve_shape_lpm_or_linear,0.20553399140038214
prolonged_elevation_flag,meal_type_breakfast,0.12352832779870324,0.07172526496044986,1.7222428926099915,0.08502552785251624,-0.017053191523778488,0.26410984712118496,1498,40,17,curve_shape_lpm_or_linear,0.1971046327490149
prolonged_elevation_flag,meal_type_dinner,0.24669962725669972,0.12701336239391137,1.9423123882950268,0.052099294202608476,-0.00224656303536655,0.495645817548766,1498,40,17,curve_shape_lpm_or_linear,0.14362508131529905
prolonged_elevation_flag,meal_type_lunch,0.15528145354817005,0.07528075839702943,2.062697784329142,0.03914135056414614,0.007731167089992386,0.3028317400063477,1498,40,17,curve_shape_lpm_or_linear,0.11671912887535806
prolonged_elevation_flag,meal_type_snack,0.12307786690484492,0.12087962732997017,1.0181853602913096,0.3085898753498091,-0.11384620266189661,0.36000193647158646,1498,40,17,curve_shape_lpm_or_linear,0.5620744158157237
prolonged_elevation_flag,meal_type_snack 1,0.39008135313773384,0.12402361503188943,3.145218376657015,0.0016596289656847952,0.14699506767523057,0.6331676386002372,1498,40,17,curve_shape_lpm_or_linear,0.00995777379410877
high_iAUC_moderate_peak_flag,Intercept,0.0006869764230226227,0.024813515530725125,0.0276855741046439,0.9779129294911558,-0.04794751401719862,0.04932146686324387,1498,40,17,curve_shape_lpm_or_linear,0.9875952357237415
high_iAUC_moderate_peak_flag,msi_centered,0.009207296645843726,0.007564315188065102,1.217201612694683,0.2235275167595511,-0.005618761122763874,0.024033354414451327,1498,40,17,curve_shape_lpm_or_linear,0.4301850322542304
high_iAUC_moderate_peak_flag,carbs_10g,-0.0006414668790188406,0.0016627759686487194,-0.3857807011368697,0.699659089270072,-0.0039005077775703307,0.0026175740195326495,1498,40,17,curve_shape_lpm_or_linear,0.8580337626252599
high_iAUC_moderate_peak_flag,digestibility_centered,0.011434408215540877,0.004014753115116421,2.848097476402182,0.004398145122345394,0.0035654921099126918,0.01930332432116906,1498,40,17,curve_shape_lpm_or_linear,0.019504817499096966
high_iAUC_moderate_peak_flag,msi_x_digestibility,0.0004799167947337358,0.0031579756559534993,0.15196975753406583,0.8792107885571477,-0.005709715490935123,0.006669549080402595,1498,40,17,curve_shape_lpm_or_linear,0.9291527289191526
high_iAUC_moderate_peak_flag,baseline_glucose,-0.008739080630784577,0.005466081283753349,-1.5987835118294809,0.10986871390219567,-0.01945259994694114,0.001974438685371987,1498,40,17,curve_shape_lpm_or_linear,0.2334710170421658
high_iAUC_moderate_peak_flag,meal_hour_sin,0.03413848676562736,0.01845484895776094,1.8498383185775618,0.0643368561793573,-0.00203301719158408,0.0703099907228388,1498,40,17,curve_shape_lpm_or_linear,0.16005754464132793
high_iAUC_moderate_peak_flag,meal_hour_cos,-0.005100663133851352,0.017853733441230098,-0.2856916818345823,0.7751142762251919,-0.04009398067866234,0.02989265441095964,1498,40,17,curve_shape_lpm_or_linear,0.9028235048888068
high_iAUC_moderate_peak_flag,meal_type_Dinner,0.07571803447980807,0.054984905895764435,1.377069456540449,0.16849077481333555,-0.032052381075890216,0.18348845003550635,1498,40,17,curve_shape_lpm_or_linear,0.3369815496266711
