subgroup_variable,subgroup_level,outcome,outcome_label,exposure,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value
diabetes_history,diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.37334043777881654,0.11341262854010949,3.2918771267767686,0.0009952108307725931,0.15105168584020195,0.5956291897174311,179,53,20,0.002416940589019155
diabetes_history,diabetes_history,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3634117618713848,0.13626534591764355,2.6669419097282785,0.007654490104783796,0.09633168387280344,0.6304918398699662,174,53,20,0.011037122433453183
diabetes_history,diabetes_history,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.08024975407630208,0.0782023017455252,1.026181484241211,0.304806047293521,-0.0730267573449273,0.23352626549753147,387,60,20,0.3364742080512894
diabetes_history,diabetes_history,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.49807842746565356,0.12880493056899295,3.866920507354828,0.00011021833512588193,0.2456207635504274,0.7505360913808797,172,53,20,0.00047354153630665654
diabetes_history,diabetes_history,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.019764392784168194,0.13516390193295166,-0.14622537897709081,0.8837434713623241,-0.2846856405727535,0.24515685500441708,379,60,20,0.8837434713623241
diabetes_history,no_diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1402048236721556,0.039168427627056954,3.579536687229799,0.00034420392496473226,0.06343470552312395,0.2169749418211872,1134,60,20,0.001008873573172491
diabetes_history,no_diabetes_history,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.12383595394043145,0.03372684444326408,3.6717325911930656,0.0002409116855693431,0.057731338831633866,0.18994056904922904,1132,60,20,0.0007584256767923763
diabetes_history,no_diabetes_history,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.11378165721307806,0.030932620774587548,3.6783710647160714,0.00023472829988479234,0.053153720494886474,0.17440959393126965,2354,60,21,0.0007584256767923763
diabetes_history,no_diabetes_history,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.18166223788792735,0.047156289328967274,3.85234378007634,0.00011699261485223279,0.08923591080315149,0.2740885649727032,1120,60,20,0.00047354153630665654
diabetes_history,no_diabetes_history,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.06451138534530458,0.021390043821143314,3.015953865486583,0.002561722334330465,0.022586899455863688,0.10643587123474547,2292,60,21,0.004536383300376865
