"confounder_exposure_shift_sd","confounder_outcome_effect_sd","outcome","observed_psi","bias_sd_units","bias_adjusted_psi","would_cross_null","minimum_bias_product_to_null"
1,1,"msi_core_partial",0.202507733356283,1,0.200007733356283,FALSE,0.202507733356283
0.05,0.05,"msi_core_partial",0.202507733356283,0.0025,0.200007733356283,FALSE,0.202507733356283
0.1,0.05,"msi_core_partial",0.202507733356283,0.005,0.200007733356283,FALSE,0.202507733356283
0.2,0.05,"msi_core_partial",0.202507733356283,0.01,0.200007733356283,FALSE,0.202507733356283
0.3,0.05,"msi_core_partial",0.202507733356283,0.015,0.200007733356283,FALSE,0.202507733356283
0.5,0.05,"msi_core_partial",0.202507733356283,0.025,0.200007733356283,FALSE,0.202507733356283
0.8,0.05,"msi_core_partial",0.202507733356283,0.04,0.200007733356283,FALSE,0.202507733356283
1,0.05,"msi_core_partial",0.202507733356283,0.05,0.200007733356283,FALSE,0.202507733356283
0.05,0.1,"msi_core_partial",0.202507733356283,0.005,0.200007733356283,FALSE,0.202507733356283
0.1,0.1,"msi_core_partial",0.202507733356283,0.01,0.200007733356283,FALSE,0.202507733356283
0.2,0.1,"msi_core_partial",0.202507733356283,0.02,0.200007733356283,FALSE,0.202507733356283
0.3,0.1,"msi_core_partial",0.202507733356283,0.03,0.200007733356283,FALSE,0.202507733356283
0.5,0.1,"msi_core_partial",0.202507733356283,0.05,0.200007733356283,FALSE,0.202507733356283
0.8,0.1,"msi_core_partial",0.202507733356283,0.08,0.200007733356283,FALSE,0.202507733356283
1,0.1,"msi_core_partial",0.202507733356283,0.1,0.200007733356283,FALSE,0.202507733356283
0.05,0.2,"msi_core_partial",0.202507733356283,0.01,0.200007733356283,FALSE,0.202507733356283
0.1,0.2,"msi_core_partial",0.202507733356283,0.02,0.200007733356283,FALSE,0.202507733356283
0.2,0.2,"msi_core_partial",0.202507733356283,0.04,0.200007733356283,FALSE,0.202507733356283
0.3,0.2,"msi_core_partial",0.202507733356283,0.06,0.200007733356283,FALSE,0.202507733356283
0.5,0.2,"msi_core_partial",0.202507733356283,0.1,0.200007733356283,FALSE,0.202507733356283
0.8,0.2,"msi_core_partial",0.202507733356283,0.16,0.200007733356283,FALSE,0.202507733356283
1,0.2,"msi_core_partial",0.202507733356283,0.2,0.200007733356283,FALSE,0.202507733356283
0.05,0.3,"msi_core_partial",0.202507733356283,0.015,0.200007733356283,FALSE,0.202507733356283
0.1,0.3,"msi_core_partial",0.202507733356283,0.03,0.200007733356283,FALSE,0.202507733356283
0.2,0.3,"msi_core_partial",0.202507733356283,0.06,0.200007733356283,FALSE,0.202507733356283
0.3,0.3,"msi_core_partial",0.202507733356283,0.09,0.200007733356283,FALSE,0.202507733356283
0.5,0.3,"msi_core_partial",0.202507733356283,0.15,0.200007733356283,FALSE,0.202507733356283
0.8,0.3,"msi_core_partial",0.202507733356283,0.24,0.200007733356283,FALSE,0.202507733356283
1,0.3,"msi_core_partial",0.202507733356283,0.3,0.200007733356283,FALSE,0.202507733356283
0.05,0.5,"msi_core_partial",0.202507733356283,0.025,0.200007733356283,FALSE,0.202507733356283
0.1,0.5,"msi_core_partial",0.202507733356283,0.05,0.200007733356283,FALSE,0.202507733356283
0.2,0.5,"msi_core_partial",0.202507733356283,0.1,0.200007733356283,FALSE,0.202507733356283
0.3,0.5,"msi_core_partial",0.202507733356283,0.15,0.200007733356283,FALSE,0.202507733356283
0.5,0.5,"msi_core_partial",0.202507733356283,0.25,0.200007733356283,FALSE,0.202507733356283
0.8,0.5,"msi_core_partial",0.202507733356283,0.4,0.200007733356283,FALSE,0.202507733356283
1,0.5,"msi_core_partial",0.202507733356283,0.5,0.200007733356283,FALSE,0.202507733356283
0.05,0.8,"msi_core_partial",0.202507733356283,0.04,0.200007733356283,FALSE,0.202507733356283
0.1,0.8,"msi_core_partial",0.202507733356283,0.08,0.200007733356283,FALSE,0.202507733356283
0.2,0.8,"msi_core_partial",0.202507733356283,0.16,0.200007733356283,FALSE,0.202507733356283
0.3,0.8,"msi_core_partial",0.202507733356283,0.24,0.200007733356283,FALSE,0.202507733356283
0.5,0.8,"msi_core_partial",0.202507733356283,0.4,0.200007733356283,FALSE,0.202507733356283
0.8,0.8,"msi_core_partial",0.202507733356283,0.64,0.200007733356283,FALSE,0.202507733356283
1,0.8,"msi_core_partial",0.202507733356283,0.8,0.200007733356283,FALSE,0.202507733356283
0.05,1,"msi_core_partial",0.202507733356283,0.05,0.200007733356283,FALSE,0.202507733356283
0.1,1,"msi_core_partial",0.202507733356283,0.1,0.200007733356283,FALSE,0.202507733356283
0.2,1,"msi_core_partial",0.202507733356283,0.2,0.200007733356283,FALSE,0.202507733356283
0.3,1,"msi_core_partial",0.202507733356283,0.3,0.200007733356283,FALSE,0.202507733356283
0.5,1,"msi_core_partial",0.202507733356283,0.5,0.200007733356283,FALSE,0.202507733356283
0.8,1,"msi_core_partial",0.202507733356283,0.8,0.200007733356283,FALSE,0.202507733356283
1,1,"msi_core_partial",0.202507733356283,1,0.200007733356283,FALSE,0.202507733356283
0.05,0.05,"msi_no_bmi",0.191271020174585,0.0025,0.188771020174585,FALSE,0.191271020174585
0.1,0.05,"msi_no_bmi",0.191271020174585,0.005,0.188771020174585,FALSE,0.191271020174585
0.2,0.05,"msi_no_bmi",0.191271020174585,0.01,0.188771020174585,FALSE,0.191271020174585
0.3,0.05,"msi_no_bmi",0.191271020174585,0.015,0.188771020174585,FALSE,0.191271020174585
0.5,0.05,"msi_no_bmi",0.191271020174585,0.025,0.188771020174585,FALSE,0.191271020174585
0.8,0.05,"msi_no_bmi",0.191271020174585,0.04,0.188771020174585,FALSE,0.191271020174585
1,0.05,"msi_no_bmi",0.191271020174585,0.05,0.188771020174585,FALSE,0.191271020174585
0.05,0.1,"msi_no_bmi",0.191271020174585,0.005,0.188771020174585,FALSE,0.191271020174585
0.1,0.1,"msi_no_bmi",0.191271020174585,0.01,0.188771020174585,FALSE,0.191271020174585
0.2,0.1,"msi_no_bmi",0.191271020174585,0.02,0.188771020174585,FALSE,0.191271020174585
0.3,0.1,"msi_no_bmi",0.191271020174585,0.03,0.188771020174585,FALSE,0.191271020174585
0.5,0.1,"msi_no_bmi",0.191271020174585,0.05,0.188771020174585,FALSE,0.191271020174585
0.8,0.1,"msi_no_bmi",0.191271020174585,0.08,0.188771020174585,FALSE,0.191271020174585
1,0.1,"msi_no_bmi",0.191271020174585,0.1,0.188771020174585,FALSE,0.191271020174585
0.05,0.2,"msi_no_bmi",0.191271020174585,0.01,0.188771020174585,FALSE,0.191271020174585
0.1,0.2,"msi_no_bmi",0.191271020174585,0.02,0.188771020174585,FALSE,0.191271020174585
0.2,0.2,"msi_no_bmi",0.191271020174585,0.04,0.188771020174585,FALSE,0.191271020174585
0.3,0.2,"msi_no_bmi",0.191271020174585,0.06,0.188771020174585,FALSE,0.191271020174585
0.5,0.2,"msi_no_bmi",0.191271020174585,0.1,0.188771020174585,FALSE,0.191271020174585
0.8,0.2,"msi_no_bmi",0.191271020174585,0.16,0.188771020174585,FALSE,0.191271020174585
1,0.2,"msi_no_bmi",0.191271020174585,0.2,0.188771020174585,FALSE,0.191271020174585
0.05,0.3,"msi_no_bmi",0.191271020174585,0.015,0.188771020174585,FALSE,0.191271020174585
0.1,0.3,"msi_no_bmi",0.191271020174585,0.03,0.188771020174585,FALSE,0.191271020174585
0.2,0.3,"msi_no_bmi",0.191271020174585,0.06,0.188771020174585,FALSE,0.191271020174585
0.3,0.3,"msi_no_bmi",0.191271020174585,0.09,0.188771020174585,FALSE,0.191271020174585
0.5,0.3,"msi_no_bmi",0.191271020174585,0.15,0.188771020174585,FALSE,0.191271020174585
0.8,0.3,"msi_no_bmi",0.191271020174585,0.24,0.188771020174585,FALSE,0.191271020174585
1,0.3,"msi_no_bmi",0.191271020174585,0.3,0.188771020174585,FALSE,0.191271020174585
0.05,0.5,"msi_no_bmi",0.191271020174585,0.025,0.188771020174585,FALSE,0.191271020174585
0.1,0.5,"msi_no_bmi",0.191271020174585,0.05,0.188771020174585,FALSE,0.191271020174585
0.2,0.5,"msi_no_bmi",0.191271020174585,0.1,0.188771020174585,FALSE,0.191271020174585
0.3,0.5,"msi_no_bmi",0.191271020174585,0.15,0.188771020174585,FALSE,0.191271020174585
0.5,0.5,"msi_no_bmi",0.191271020174585,0.25,0.188771020174585,FALSE,0.191271020174585
0.8,0.5,"msi_no_bmi",0.191271020174585,0.4,0.188771020174585,FALSE,0.191271020174585
1,0.5,"msi_no_bmi",0.191271020174585,0.5,0.188771020174585,FALSE,0.191271020174585
0.05,0.8,"msi_no_bmi",0.191271020174585,0.04,0.188771020174585,FALSE,0.191271020174585
0.1,0.8,"msi_no_bmi",0.191271020174585,0.08,0.188771020174585,FALSE,0.191271020174585
0.2,0.8,"msi_no_bmi",0.191271020174585,0.16,0.188771020174585,FALSE,0.191271020174585
0.3,0.8,"msi_no_bmi",0.191271020174585,0.24,0.188771020174585,FALSE,0.191271020174585
0.5,0.8,"msi_no_bmi",0.191271020174585,0.4,0.188771020174585,FALSE,0.191271020174585
0.8,0.8,"msi_no_bmi",0.191271020174585,0.64,0.188771020174585,FALSE,0.191271020174585
1,0.8,"msi_no_bmi",0.191271020174585,0.8,0.188771020174585,FALSE,0.191271020174585
0.05,1,"msi_no_bmi",0.191271020174585,0.05,0.188771020174585,FALSE,0.191271020174585
0.1,1,"msi_no_bmi",0.191271020174585,0.1,0.188771020174585,FALSE,0.191271020174585
0.2,1,"msi_no_bmi",0.191271020174585,0.2,0.188771020174585,FALSE,0.191271020174585
