target,target_label,model,pred_decile,n,mean_pred,mean_observed,high_rate
iauc_2h,2h iAUC,M2_macro_precgm_context,7,149,3582.4335186385365,3559.8026845637582,0.3422818791946309
iauc_2h,2h iAUC,M2_macro_precgm_context,8,150,4105.588392863925,3481.101333333333,0.3066666666666666
iauc_2h,2h iAUC,M2_macro_precgm_context,9,150,4613.522744555331,4366.153333333334,0.3866666666666666
iauc_2h,2h iAUC,M2_macro_precgm_context,10,150,5428.7498586307975,5726.652666666667,0.5133333333333333
iauc_2h,2h iAUC,M3_msi_enhanced,1,150,111.52261563840264,876.7153333333332,0.0266666666666666
iauc_2h,2h iAUC,M3_msi_enhanced,2,150,1205.9036699901394,1351.748,0.0466666666666666
iauc_2h,2h iAUC,M3_msi_enhanced,3,150,1832.4751603439572,1865.169333333333,0.14
iauc_2h,2h iAUC,M3_msi_enhanced,4,149,2337.2462103081816,2242.245302013423,0.1543624161073825
iauc_2h,2h iAUC,M3_msi_enhanced,5,150,2807.0500901972564,2590.983333333333,0.22
iauc_2h,2h iAUC,M3_msi_enhanced,6,150,3238.784497589951,2980.053333333334,0.2266666666666666
iauc_2h,2h iAUC,M3_msi_enhanced,7,149,3631.6828082125344,3082.797315436241,0.261744966442953
iauc_2h,2h iAUC,M3_msi_enhanced,8,150,4172.135380743082,4353.347333333333,0.3666666666666666
iauc_2h,2h iAUC,M3_msi_enhanced,9,150,4831.9731510900565,4482.486666666666,0.46
iauc_2h,2h iAUC,M3_msi_enhanced,10,150,6114.897440432752,6502.723333333332,0.6333333333333333
peak_delta_2h,2h peak delta,M0_carb_only,1,150,36.39273251502959,39.03333333333333,0.1866666666666666
peak_delta_2h,2h peak delta,M0_carb_only,2,151,40.214583124935686,28.5,0.1059602649006622
peak_delta_2h,2h peak delta,M0_carb_only,3,150,42.26302886045228,47.32266666666666,0.24
peak_delta_2h,2h peak delta,M0_carb_only,4,148,44.91280604404117,39.443243243243245,0.1351351351351351
peak_delta_2h,2h peak delta,M0_carb_only,5,150,48.53511016872555,37.25866666666666,0.1266666666666666
peak_delta_2h,2h peak delta,M0_carb_only,6,152,54.06365926673229,90.22763157894737,0.5789473684210527
peak_delta_2h,2h peak delta,M0_carb_only,7,149,56.09096553832437,63.755704697986566,0.3288590604026846
peak_delta_2h,2h peak delta,M0_carb_only,8,148,58.13163295823284,50.38581081081081,0.2094594594594594
peak_delta_2h,2h peak delta,M0_carb_only,9,151,62.52740322467876,58.966887417218544,0.2847682119205298
peak_delta_2h,2h peak delta,M0_carb_only,10,149,69.26101469347452,56.21208053691274,0.3154362416107382
peak_delta_2h,2h peak delta,M1_macro_timing,1,150,25.431997668893608,27.000666666666664,0.0866666666666666
peak_delta_2h,2h peak delta,M1_macro_timing,2,150,32.1678939778445,33.508,0.1266666666666666
peak_delta_2h,2h peak delta,M1_macro_timing,3,150,36.99642049553016,34.12933333333333,0.12
peak_delta_2h,2h peak delta,M1_macro_timing,4,149,40.55328641342435,40.98255033557047,0.1946308724832214
peak_delta_2h,2h peak delta,M1_macro_timing,5,150,45.22614133590484,44.78533333333333,0.1333333333333333
peak_delta_2h,2h peak delta,M1_macro_timing,6,150,50.89850653548952,53.20799999999999,0.2733333333333333
peak_delta_2h,2h peak delta,M1_macro_timing,7,149,57.86771902660057,61.35973154362415,0.3959731543624161
peak_delta_2h,2h peak delta,M1_macro_timing,8,150,64.90709318511196,62.876,0.2933333333333333
peak_delta_2h,2h peak delta,M1_macro_timing,9,150,73.52692398453966,67.56600000000002,0.3666666666666666
peak_delta_2h,2h peak delta,M1_macro_timing,10,150,85.08795193691151,86.16133333333333,0.5266666666666666
peak_delta_2h,2h peak delta,M2_macro_precgm_context,1,150,18.07181938278354,24.577333333333332,0.0933333333333333
peak_delta_2h,2h peak delta,M2_macro_precgm_context,2,150,30.31515067725344,33.056,0.1066666666666666
peak_delta_2h,2h peak delta,M2_macro_precgm_context,3,150,36.26277602363916,35.89266666666667,0.16
