cluster,minute,feature_derived_delta
delayed_peak (2),5.0,4.918198853244605
delayed_peak (2),6.0,5.84035155909766
delayed_peak (2),7.0,6.74275593175128
delayed_peak (2),8.0,7.625723367763269
delayed_peak (2),9.0,8.489560918751419
delayed_peak (2),10.0,9.33457134812798
delayed_peak (2),11.0,10.161053187123581
delayed_peak (2),12.0,10.96930079010924
delayed_peak (2),13.0,11.759604389225043
delayed_peak (2),14.0,12.532250148323854
delayed_peak (2),15.0,13.287520216238532
delayed_peak (2),16.0,14.025692779380734
delayed_peak (2),17.0,14.74704211367959
delayed_peak (2),18.0,15.451838635868222
delayed_peak (2),19.0,16.140348954126043
delayed_peak (2),20.0,16.812835918084794
delayed_peak (2),21.0,17.46955866820592
delayed_peak (2),22.0,18.11077268453713
delayed_peak (2),23.0,18.736729834855584
delayed_peak (2),24.0,19.347678422205234
delayed_peak (2),25.0,19.943863231835792
delayed_peak (2),26.0,20.525525577550503
delayed_peak (2),27.0,21.092903347470017
delayed_peak (2),28.0,21.646231049219562
delayed_peak (2),29.0,22.18573985454632
delayed_peak (2),30.0,22.711657643374085
delayed_peak (2),31.0,23.224209047302022
delayed_peak (2),32.0,23.72361549255442
delayed_peak (2),33.0,24.210095242388025
delayed_peak (2),34.0,24.683863438963712
delayed_peak (2),35.0,25.145132144688986
delayed_peak (2),36.0,25.59411038303779
delayed_peak (2),37.0,26.031004178854108
delayed_peak (2),38.0,26.456016598145556
delayed_peak (2),39.0,26.869347787373353
delayed_peak (2),40.0,27.271195012244686
delayed_peak (2),41.0,27.661752696013796
delayed_peak (2),42.0,28.041212457297544
delayed_peak (2),43.0,28.409763147411635
delayed_peak (2),44.0,28.76759088723328
delayed_peak (2),45.0,29.114879103596135
delayed_peak (2),46.0,29.451808565223228
delayed_peak (2),47.0,29.77855741820364
delayed_peak (2),48.0,30.095301221018403
delayed_peak (2),49.0,30.402212979121348
delayed_peak (2),50.0,30.69946317908014
delayed_peak (2),51.0,30.987219822283187
delayed_peak (2),52.0,31.26564845821745
delayed_peak (2),53.0,31.534912217322727
delayed_peak (2),54.0,31.795171843427482
delayed_peak (2),55.0,32.04658572577129
delayed_peak (2),56.0,32.28930993061921
delayed_peak (2),57.0,32.523498232472946
delayed_peak (2),58.0,32.74930214488374
delayed_peak (2),59.0,32.96687095087213
delayed_peak (2),60.0,33.176351732959105
delayed_peak (2),61.0,33.37788940281377
delayed_peak (2),62.0,33.571626730521984
delayed_peak (2),63.0,33.75770437348078
delayed_peak (2),64.0,33.93626090492326
delayed_peak (2),65.0,34.10743284207834
delayed_peak (2),66.0,34.27135467397003
delayed_peak (2),67.0,34.428158888860565
delayed_peak (2),68.0,34.57797600134193
delayed_peak (2),69.0,34.72093457908001
delayed_peak (2),70.0,34.85716126921571
delayed_peak (2),71.0,34.98678082442728
