outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
delayed_peak_flag,meal_type_dinner,0.2689138741413937,0.0934879379711094,2.876455294419865,0.0040216915921781,0.0856775157180191,0.4521502325647683,1498,40,17,curve_shape_lpm_or_linear,0.0186460246546441
delayed_peak_flag,meal_type_lunch,0.251929206421824,0.0857238059701073,2.9388476581368064,0.0032943495634275,0.0839105467204135,0.4199478661232345,1498,40,17,curve_shape_lpm_or_linear,0.0168011827734804
delayed_peak_flag,meal_type_snack,0.1461728842385932,0.0785145179471917,1.8617306462596876,0.0626410665576951,-0.0077155709379027,0.3000613394150891,1498,40,17,curve_shape_lpm_or_linear,0.1597347197221226
delayed_peak_flag,meal_type_snack 1,0.4246262351766667,0.0866594132085423,4.899943577448662,9.586418160055604e-07,0.2547737852879237,0.5944786850654098,1498,40,17,curve_shape_lpm_or_linear,9.778146523256715e-06
prolonged_elevation_flag,Intercept,0.3854505847235384,0.0726278595005471,5.307200120921019,1.1132193805818917e-07,0.243099980102466,0.5278011893446108,1498,40,17,curve_shape_lpm_or_linear,1.261648631326144e-06
prolonged_elevation_flag,msi_centered,0.278781237680176,0.0349133599901797,7.984944381136335,1.405856784660943e-15,0.2103510520994237,0.3472114232609283,1498,40,17,curve_shape_lpm_or_linear,4.7799130678472066e-14
prolonged_elevation_flag,carbs_10g,0.003915780351842,0.0049458329279529,0.7917332447100531,0.4285162335083488,-0.0057780521869457,0.0136096128906298,1498,40,17,curve_shape_lpm_or_linear,0.6872789934481606
prolonged_elevation_flag,digestibility_centered,0.0471250846864044,0.0106556856136839,4.422529567303191,9.755199421983502e-06,0.0262399408835839,0.0680102284892249,1498,40,17,curve_shape_lpm_or_linear,9.045730373111975e-05
prolonged_elevation_flag,msi_x_digestibility,0.0335567167592545,0.0076253001483219,4.400707658260419,1.0789841228725166e-05,0.0186111284685435,0.0485023050499654,1498,40,17,curve_shape_lpm_or_linear,9.171365044416392e-05
prolonged_elevation_flag,baseline_glucose,-0.1576622173557656,0.015283256589376,-10.316009316061743,5.9651207460248e-25,-0.1876174002709427,-0.1277070344405885,1498,40,17,curve_shape_lpm_or_linear,6.084423160945295e-23
