source_table,outcome,term,B_success,boot_mean,boot_ci_low,boot_ci_high,positive_probability,left_out_subject,estimate,se,p_value,n,n_clusters
cg_influence,iauc_2h_per1000,msi_centered,,,,,,20.0,1.043399477479294,0.2709481303311211,0.0001176751080947,1457.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,20.0,0.0432450682939987,0.0278221572862724,0.1201035397343614,1457.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,20.0,2.4756876011072064,0.308574706897094,1.0321315867345621e-15,1457.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,20.0,17.05235565370017,3.961769305489119,1.6756954451320862e-05,1457.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,20.0,0.5013632591635441,0.4019314649527323,0.2122563832790431,1457.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,21.0,0.1799463735809266,0.0213895058755247,4.002193759985175e-17,1460.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,21.0,1.0640700717690137,0.2692885510748282,7.769136870400789e-05,1460.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,21.0,0.0423812138688466,0.0282292627889129,0.133272291928393,1460.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,21.0,2.5512673797168484,0.3075221194402739,1.0748752708528555e-16,1460.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,21.0,17.598901506897334,3.9122566094076574,6.846626306359119e-06,1460.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,21.0,0.4251280134027746,0.4000952135408455,0.287978310568882,1460.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,22.0,0.1797105130207343,0.0199931598568287,2.503999955592075e-19,1457.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,22.0,1.0873328058120335,0.279739015213953,0.0001015097991906,1457.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,22.0,0.0394165080035418,0.028108136288973,0.1608207054484081,1457.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,22.0,2.487724265830666,0.2978595273023938,6.711381172735382e-17,1457.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,22.0,17.93763470141576,4.032992443822952,8.678519792523938e-06,1457.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,22.0,0.4651477647167616,0.4070130404476213,0.2531081073996371,1457.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,23.0,0.1751330649021371,0.0196273475698709,4.54191943046768e-19,1457.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,23.0,1.086338548447261,0.2631354791855155,3.652356670018473e-05,1457.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,23.0,0.0445946940260054,0.0271636519557566,0.1006512252448262,1457.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,23.0,2.4266761414376568,0.291862783246701,9.218508444644002e-17,1457.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,23.0,17.730880601469938,3.834863184268974,3.7713339108899553e-06,1457.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,23.0,0.5251856515305432,0.3896556673924332,0.1777163249741883,1457.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,26.0,0.1823765009518592,0.0205612844243345,7.321276078260211e-19,1466.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,26.0,1.058152293661271,0.2705584603590116,9.191736740416138e-05,1466.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,26.0,0.0427295121657645,0.0272185820509656,0.1164464117952749,1466.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,26.0,2.451357916767919,0.3030582173392784,6.028707576394241e-16,1466.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,26.0,17.3323588088383,3.94846693504813,1.1353708706596214e-05,1466.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,26.0,0.4762292513339812,0.3927023362296262,0.2252453889367827,1466.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,27.0,0.174801164201532,0.0196484984184446,5.76804440084595e-19,1463.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,27.0,1.0539871558190403,0.2783442437750636,0.0001527031354067,1463.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,27.0,0.0519763685123433,0.026752477706108,0.0520328516351311,1463.0,39.0
