sample_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,inference,same_direction_as_main,beta_ratio_vs_main,robustness_decision
Exclude antidiabetic medication users,ln(HOMA-IR),lnΣDEHP,1714,"8.122 (3.680, 12.754)",<0.001,0.002,FDR-significant positive association,TRUE,0.7310433023711177,FDR robust positive
Exclude diagnosed diabetes,ln(HOMA-IR),lnΣDEHP,1706,"7.759 (3.267, 12.445)",0.001,0.002,FDR-significant positive association,TRUE,0.6995421621136061,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(HOMA-IR),lnΣDEHP,1675,"7.859 (3.365, 12.549)",0.001,0.002,FDR-significant positive association,TRUE,0.7083029549410278,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(HOMA-IR),lnΣDEHP,1565,"6.733 (1.919, 11.775)",0.007,0.015,FDR-significant positive association,TRUE,0.6100262909557691,FDR robust positive
Full analytic sample,ln(HOMA-IR),lnΣDEHP,1983,"11.273 (5.593, 17.258)",<0.001,<0.001,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(HOMA-IR),lnΣDEHP,661,"6.510 (-2.611, 16.485)",0.160,0.196,Positive but not significant,TRUE,0.5904482830801826,Directionally consistent
Exclude antidiabetic medication users,ln(TG/HDL-C),%Oxidative per 10 percentage points,1700,"11.883 (2.703, 21.885)",0.012,0.018,FDR-significant positive association,TRUE,0.8496022731853378,FDR robust positive
Exclude diagnosed diabetes,ln(TG/HDL-C),%Oxidative per 10 percentage points,1691,"11.604 (2.490, 21.529)",0.013,0.025,FDR-significant positive association,TRUE,0.8307030400252614,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(TG/HDL-C),%Oxidative per 10 percentage points,1660,"11.419 (2.287, 21.366)",0.015,0.027,FDR-significant positive association,TRUE,0.8181167720095386,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(TG/HDL-C),%Oxidative per 10 percentage points,1552,"10.203 (0.866, 20.404)",0.033,0.053,Nominal positive association,TRUE,0.735086142553268,Nominal robust positive
Full analytic sample,ln(TG/HDL-C),%Oxidative per 10 percentage points,1970,"14.130 (5.335, 23.658)",0.002,0.009,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(TG/HDL-C),%Oxidative per 10 percentage points,652,"6.624 (-6.664, 21.803)",0.332,0.718,Positive but not significant,TRUE,0.485272508367922,Directionally consistent
Exclude antidiabetic medication users,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1699,"15.735 (3.324, 29.637)",0.014,0.018,FDR-significant positive association,TRUE,1.0748408593192713,FDR robust positive
Exclude diagnosed diabetes,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1690,"14.693 (2.454, 28.395)",0.019,0.025,FDR-significant positive association,TRUE,1.008324522672267,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1659,"14.793 (2.380, 28.710)",0.020,0.027,FDR-significant positive association,TRUE,1.014686107518349,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1551,"13.234 (0.625, 27.424)",0.040,0.053,Nominal positive association,TRUE,0.9141616376275439,Nominal robust positive
Full analytic sample,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1969,"14.564 (3.740, 26.516)",0.009,0.012,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(TG/HDL-C),ILR oxidative-vs-primary balance,651,"5.320 (-11.234, 24.961)",0.539,0.718,Positive but not significant,TRUE,0.38121460181445527,Directionally consistent
Exclude antidiabetic medication users,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1699,"14.187 (3.652, 25.794)",0.009,0.018,FDR-significant positive association,TRUE,1.072000101196493,FDR robust positive
Exclude diagnosed diabetes,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1690,"13.230 (2.779, 24.745)",0.014,0.025,FDR-significant positive association,TRUE,1.004000786188635,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1659,"13.365 (2.799, 25.018)",0.014,0.027,FDR-significant positive association,TRUE,1.0136171105295113,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1551,"11.986 (1.208, 23.911)",0.030,0.053,Nominal positive association,TRUE,0.9146794683495794,Nominal robust positive
Full analytic sample,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],651,"5.529 (-8.130, 21.220)",0.432,0.718,Positive but not significant,TRUE,0.43486811924033963,Directionally consistent
Exclude antidiabetic medication users,ln(TG/HDL-C),lnΣDEHP,1699,"-1.444 (-6.810, 4.231)",0.599,0.599,Negative but not significant,FALSE,-1.342475251713806,Direction changed
Exclude diagnosed diabetes,ln(TG/HDL-C),lnΣDEHP,1690,"-1.614 (-7.014, 4.100)",0.560,0.560,Negative but not significant,FALSE,-1.501546065285189,Direction changed
Exclude diagnosed diabetes or medication users,ln(TG/HDL-C),lnΣDEHP,1659,"-1.590 (-7.032, 4.171)",0.569,0.569,Negative but not significant,FALSE,-1.47902672589997,Direction changed
Exclude diagnosed/medication/biochemical diabetes,ln(TG/HDL-C),lnΣDEHP,1551,"-2.636 (-8.207, 3.274)",0.361,0.361,Negative but not significant,FALSE,-2.46548897275916,Direction changed
Full analytic sample,ln(TG/HDL-C),lnΣDEHP,1969,"1.089 (-4.271, 6.750)",0.687,0.687,Positive but not significant,TRUE,1,Reference
Strict normoglycemia only,ln(TG/HDL-C),lnΣDEHP,651,"-0.854 (-11.724, 11.354)",0.881,0.881,Negative but not significant,FALSE,-0.7917483443938219,Direction changed
