model_id,model_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,same_direction_as_main,source_adjusted_decision,source_terms_used
M1,Diet-source adjusted,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1983,"15.773 (5.062, 27.576)",0.005,0.006,1.0662990508154575,-6.6299050815457505,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1983,"14.699 (4.021, 26.473)",0.008,0.010,0.9984274473373902,0.15725526626098052,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1983,"15.743 (5.148, 27.405)",0.004,0.006,1.0643762440528834,-6.437624405288345,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1983,"15.860 (5.033, 27.802)",0.005,0.006,1.0717262059543367,-7.172620595433665,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,ln(TG/HDL-C),%Oxidative per 10 percentage points,1970,"14.130 (5.335, 23.658)",0.002,0.009,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,ln(TG/HDL-C),%Oxidative per 10 percentage points,1970,"14.406 (5.826, 23.681)",0.001,0.006,1.018293971539072,-1.8293971539071974,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,ln(TG/HDL-C),%Oxidative per 10 percentage points,1970,"15.631 (6.416, 25.645)",0.001,0.005,1.0989148944566989,-9.891489445669887,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,ln(TG/HDL-C),%Oxidative per 10 percentage points,1970,"15.842 (6.923, 25.505)",<0.001,0.003,1.1126699115203096,-11.266991152030958,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,ln(TG/HDL-C),%Oxidative per 10 percentage points,1970,"15.895 (6.937, 25.604)",<0.001,0.004,1.116154732377144,-11.61547323771439,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1969,"14.564 (3.740, 26.516)",0.009,0.012,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1969,"14.819 (3.879, 26.911)",0.009,0.012,1.0163925712763793,-1.6392571276379275,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1969,"14.466 (3.472, 26.629)",0.011,0.014,0.9937500174369898,0.6249982563010237,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1969,"14.714 (3.623, 26.993)",0.010,0.014,1.009667832709648,-0.9667832709647994,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,ln(TG/HDL-C),ILR oxidative-vs-primary balance,1969,"14.792 (3.654, 27.126)",0.010,0.014,1.0146337800464882,-1.4633780046488187,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"13.174 (3.812, 23.382)",0.007,0.012,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"13.340 (3.914, 23.621)",0.007,0.012,1.011806491197281,-1.1806491197281055,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"13.117 (3.606, 23.500)",0.008,0.014,0.9958790536219579,0.41209463780420563,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"13.275 (3.715, 23.716)",0.008,0.014,1.007173497298339,-0.7173497298339049,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,ln(TG/HDL-C),ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"13.349 (3.767, 23.815)",0.008,0.014,1.0124435043390227,-1.2443504339022748,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
