outcome,outcome_label,scenario,exposure,exposure_label,restriction,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
ln_HOMA_IR,ln(HOMA-IR),"Winsorized exposure, 1st-99th percentile",ln_URXMOH_w,winsorized MEOHP,none,1983,0.09087744882631595,0.026414378662210327,0.0018398276505792006,9.513478698084299,3.745442757448214,15.602205723824248,0.0018398276505792006,"9.513 (3.745, 15.602)",0.002,0.002,positive
ln_HOMA_IR,ln(HOMA-IR),"Winsorized exposure, 1st-99th percentile",ln_URXECP_w,winsorized MECPP,none,1983,0.10121054276154738,0.026484633779711383,6.767654454649919e-4,10.650958482399297,4.807927778517063,16.819737519734467,8.459568068312399e-4,"10.651 (4.808, 16.820)",<0.001,<0.001,positive
HbA1c,HbA1c,"Main model, creatinine-adjusted",ln_Sigma_DEHP,ln(Sigma DEHP),none,4124,0.08824356786813228,0.024694205597838133,0.0014068219042473302,0.08824356786813228,0.03748390129787638,0.1390032344383882,0.00212264327308837,"0.088 (0.037, 0.139)",0.001,0.002,positive
HbA1c,HbA1c,"Main model, creatinine-adjusted",pct_oxidative_10,%Oxidative per 10 percentage points,none,4124,0.06795971098891275,0.020071031058594802,0.0021872630866149527,0.06795971098891275,0.026777356965664335,0.10914206501216117,0.0021872630866149527,"0.068 (0.027, 0.109)",0.002,0.002,positive
HbA1c,HbA1c,"Main model, creatinine-adjusted",ln_URXMHH,MEHHP,none,4124,0.07568962377673297,0.020833961849557606,0.0012080977302143968,0.07568962377673297,0.032864801871404795,0.11851444568206114,0.00212264327308837,"0.076 (0.033, 0.119)",0.001,0.002,positive
HbA1c,HbA1c,"Main model, creatinine-adjusted",ln_URXMOH,MEOHP,none,4124,0.0845534171504173,0.02176196044931957,6.299569291420026e-4,0.0845534171504173,0.039821066804259043,0.12928576749657555,0.00212264327308837,"0.085 (0.040, 0.129)",<0.001,0.002,positive
HbA1c,HbA1c,"Main model, creatinine-adjusted",ln_URXECP,MECPP,none,4124,0.08559363367498993,0.024458407794329978,0.001698114618470696,0.08559363367498993,0.03531865643141237,0.1358686109185675,0.00212264327308837,"0.086 (0.035, 0.136)",0.002,0.002,positive
HbA1c,HbA1c,Exclude urinary creatinine <30 or >300 mg/dL,ln_Sigma_DEHP,ln(Sigma DEHP),valid_creatinine,3664,0.08085904298624619,0.0262702329607507,0.004741912397418196,0.08085904298624619,0.026956977322331675,0.1347611086501607,0.004741912397418196,"0.081 (0.027, 0.135)",0.005,0.005,positive
HbA1c,HbA1c,Exclude urinary creatinine <30 or >300 mg/dL,pct_oxidative_10,%Oxidative per 10 percentage points,valid_creatinine,3664,0.08000263715396057,0.02510098221710906,0.0035168738632407374,0.08000263715396057,0.028585605914358936,0.1314196683935622,0.004741912397418196,"0.080 (0.029, 0.131)",0.004,0.005,positive
HbA1c,HbA1c,"Creatinine-standardized exposure, no creatinine covariate",ln_cr_Sigma_DEHP,ln(creatinine-standardized Sigma DEHP),none,4124,0.08550147292502322,0.024718259732490835,0.0018146101100625022,0.08550147292502322,0.03478379329161272,0.13621915255843373,0.0018735065515713847,"0.086 (0.035, 0.136)",0.002,0.002,positive
HbA1c,HbA1c,"Creatinine-standardized exposure, no creatinine covariate",ln_cr_URXMHH,creatinine-standardized MEHHP,none,4124,0.07457091086180503,0.02099598981712175,0.001429895134346486,0.07457091086180503,0.03149069823132531,0.11765112349228476,0.0018735065515713847,"0.075 (0.031, 0.118)",0.001,0.002,positive
HbA1c,HbA1c,"Creatinine-standardized exposure, no creatinine covariate",ln_cr_URXMOH,creatinine-standardized MEOHP,none,4124,0.08427992018326787,0.021914076724331592,6.643415727390523e-4,0.08427992018326787,0.039315948819793986,0.12924389154674176,0.0018735065515713847,"0.084 (0.039, 0.129)",<0.001,0.002,positive
HbA1c,HbA1c,"Creatinine-standardized exposure, no creatinine covariate",ln_cr_URXECP,creatinine-standardized MECPP,none,4124,0.08431030349774199,0.02446206356192516,0.0018735065515713847,0.08431030349774199,0.034118294985303534,0.13450231201018045,0.0018735065515713847,"0.084 (0.034, 0.135)",0.002,0.002,positive
HbA1c,HbA1c,Exclude any DEHP component below LOD,ln_Sigma_DEHP,ln(Sigma DEHP),all_dehp_detected,2354,0.059228496204367646,0.03549473929919497,0.10674287339274352,0.059228496204367646,-0.013600693064232637,0.13205768547296792,0.10674287339274352,"0.059 (-0.014, 0.132)",0.107,0.107,positive
HbA1c,HbA1c,Exclude oxidative components below LOD,pct_oxidative_10,%Oxidative per 10 percentage points,all_oxidative_detected,4077,0.0719643641758556,0.022652698767257978,0.003708211483451666,0.0719643641758556,0.025484865564560345,0.11844386278715086,0.003708211483451666,"0.072 (0.025, 0.118)",0.004,0.004,positive
HbA1c,HbA1c,Exclude oxidative components below LOD,ln_URXMHH,MEHHP,all_oxidative_detected,4077,0.08002966573624364,0.021149492491111917,8.191017683826592e-4,0.08002966573624364,0.0365562613084067,0.12350307016408058,0.0017797436316778997,"0.080 (0.037, 0.124)",<0.001,0.002,positive
HbA1c,HbA1c,Exclude oxidative components below LOD,ln_URXMOH,MEOHP,all_oxidative_detected,4077,0.08322369837998568,0.022181752193778617,8.898718158389499e-4,0.08322369837998568,0.03762845374499261,0.12881894301497876,0.0017797436316778997,"0.083 (0.038, 0.129)",<0.001,0.002,positive
HbA1c,HbA1c,Exclude oxidative components below LOD,ln_URXECP,MECPP,all_oxidative_detected,4077,0.08496526967217914,0.025219288554561115,0.002361861810021804,0.08496526967217914,0.03312627962664951,0.13680425971770876,0.0031491490800290714,"0.085 (0.033, 0.137)",0.002,0.003,positive
HbA1c,HbA1c,"Winsorized exposure, 1st-99th percentile",ln_Sigma_DEHP_w,winsorized ln(Sigma DEHP),none,4124,0.0917391975578544,0.025498964031975293,0.0013221047225322332,0.0917391975578544,0.039325326335233425,0.14415306878047537,0.0016526309031652915,"0.092 (0.039, 0.144)",0.001,0.002,positive
HbA1c,HbA1c,"Winsorized exposure, 1st-99th percentile",pct_oxidative_10_w,winsorized %Oxidative per 10 percentage points,none,4124,0.09013015071995047,0.02331545303895036,6.307262332089247e-4,0.09013015071995047,0.04229079266906912,0.1379695087708318,0.0015768155830223117,"0.090 (0.042, 0.138)",<0.001,0.002,positive
HbA1c,HbA1c,"Winsorized exposure, 1st-99th percentile",ln_URXMHH_w,winsorized MEHHP,none,4124,0.0780783701079153,0.021295062060853548,0.001108601103057287,0.0780783701079153,0.03430574314410387,0.12185099707172672,0.0016526309031652915,"0.078 (0.034, 0.122)",0.001,0.002,positive
HbA1c,HbA1c,"Winsorized exposure, 1st-99th percentile",ln_URXMOH_w,winsorized MEOHP,none,4124,0.08720617586707224,0.02234214748344113,6.014431938572246e-4,0.08720617586707224,0.04128123399235823,0.13313111774178626,0.0015768155830223117,"0.087 (0.041, 0.133)",<0.001,0.002,positive
HbA1c,HbA1c,"Winsorized exposure, 1st-99th percentile",ln_URXECP_w,winsorized MECPP,none,4124,0.08972077327096267,0.025783845998063087,0.0017857873816402882,0.08972077327096267,0.03672131878050978,0.14272022776141557,0.0017857873816402882,"0.090 (0.037, 0.143)",0.002,0.002,positive
