sample_id,sample_label,outcome,outcome_label,exposure,exposure_label,exposure_type,include_creatinine,include_total_burden,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,main_beta,main_effect,main_p_value,same_direction_as_main,beta_ratio_vs_main,robustness_decision
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1699,-0.013903910912386337,0.022793192004440764,0.5467791768718754,-0.013903910912386337,-0.060593648198593066,0.03278582637382039,Negative direction,0.5467791768718754,"-0.014 (-0.061, 0.033)",0.547,0.547,Negative but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,FALSE,-0.9928160965673416,Direction changed
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1700,0.10510180651905286,0.0352436998821833,0.005749451330290709,0.10510180651905286,0.03302034682158271,0.17718326621652303,Nominal positive,0.008710419860313425,"0.105 (0.033, 0.177)",0.006,0.009,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,TRUE,0.7966948554161196,FDR robust positive
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1699,0.1265082715893445,0.04076328383857997,0.004451516005625707,0.1265082715893445,0.042868921857398504,0.2101476213212905,Nominal positive,0.008710419860313425,"0.127 (0.043, 0.210)",0.004,0.009,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,TRUE,1.030453385898497,FDR robust positive
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1699,0.14002700319872644,0.047507597057021476,0.00653281489523507,0.14002700319872644,0.042549465792480784,0.2375045406049721,Nominal positive,0.008710419860313425,"0.140 (0.043, 0.238)",0.007,0.009,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,TRUE,1.0343424491665412,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1699,-0.014544049314812912,0.027329264099439407,0.5988002100445953,-1.4438795519558179,-6.80960327866329,4.230792222236035,Negative direction,0.5988002100445953,"-1.444 (-6.810, 4.231)",0.599,0.599,Negative but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,FALSE,-1.342475251713806,Direction changed
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1700,0.11228694581424516,0.04186252496801735,0.011944891828851953,11.883385928099166,2.7027254793890787,21.88471131905971,Nominal positive,0.01800003235041669,"11.883 (2.703, 21.885)",0.012,0.018,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,TRUE,0.8496022731853378,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1699,0.1326709128237311,0.047179307614848745,0.009059804894332254,14.18741603494722,3.6517949038797015,25.793923711880453,Nominal positive,0.01800003235041669,"14.187 (3.652, 25.794)",0.009,0.018,FDR-significant positive association,0.12376016818995907,13.17444101376144,0.00664168649758235,TRUE,1.072000101196493,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1699,0.14613466658431445,0.0552833218199964,0.01350002426281252,15.735203420222167,3.324326882381312,29.636821403810497,Nominal positive,0.01800003235041669,"15.735 (3.324, 29.637)",0.014,0.018,FDR-significant positive association,0.1359593518587169,14.563532470186136,0.009080982590016873,TRUE,1.0748408593192713,FDR robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1675,0.07565838689524922,0.020777753375976208,0.0010895109051334022,7.859404935245129,3.3650889973291243,12.54913381137599,Nominal positive,0.0021790218102668043,"7.859 (3.365, 12.549)",0.001,0.002,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,TRUE,0.7083029549410278,FDR robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1676,0.16621378700565906,0.04577865121300061,0.0010789603294778525,18.08255198925559,7.528520413899553,29.67247229501413,Nominal positive,0.0021790218102668043,"18.083 (7.529, 29.672)",0.001,0.002,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,TRUE,0.788465005159668,FDR robust positive
