outcome,exposure,n,beta,se,p_value,effect,effect_low,effect_high,outcome_label,pollutant,label,group,q_value,effect_CI,p_value_fmt,q_value_fmt
non_HDL_C,ln_URXBPH,4083,-0.08794150290666866,0.9564514120405849,0.9274460386632107,-0.08794150290666866,-2.053955536987635,1.8780725311742978,Non-HDL-C,URXBPH,BPA,Bisphenols,0.9274460386632107,"-0.088 (-2.054, 1.878)",0.927,0.927
non_HDL_C,ln_URXBPF,4080,-1.1147557046225955,0.7319071819844689,0.13980932794429798,-1.1147557046225955,-2.619212463545818,0.38970105430062674,Non-HDL-C,URXBPF,BPF,Bisphenols,0.326221765203362,"-1.115 (-2.619, 0.390)",0.140,0.326
non_HDL_C,ln_URXBPS,4077,-0.615639893957293,0.653106033917818,0.35454532647740433,-0.615639893957293,-1.9581185732306583,0.7268387853160724,Non-HDL-C,URXBPS,BPS,Bisphenols,0.5515149522981845,"-0.616 (-1.958, 0.727)",0.355,0.552
non_HDL_C,ln_URXMEP,4085,-0.7915454923471945,0.7444086761175229,0.2974129827017514,-0.7915454923471945,-2.3216994404879303,0.7386084557935413,Non-HDL-C,URXMEP,MEP,Phthalates,0.5515149522981845,"-0.792 (-2.322, 0.739)",0.297,0.552
non_HDL_C,ln_URXMBP,4085,-1.989601810895082,1.175999006537671,0.10262959884696517,-1.989601810895082,-4.406902388648037,0.4276987668578729,Non-HDL-C,URXMBP,MBP,Phthalates,0.326221765203362,"-1.990 (-4.407, 0.428)",0.103,0.326
non_HDL_C,ln_URXMIB,4085,-1.188658308256741,1.2537072754039404,0.3518008490922331,-1.188658308256741,-3.7656905202902884,1.3883739037768061,Non-HDL-C,URXMIB,MiBP,Phthalates,0.5515149522981845,"-1.189 (-3.766, 1.388)",0.352,0.552
non_HDL_C,ln_URXMHP,4085,-2.6788768551599502,1.3474961303054478,0.05743225803566583,-2.6788768551599502,-5.448694819460151,0.09094110914025011,Non-HDL-C,URXMHP,MEHP,Phthalates,0.26801720416644054,"-2.679 (-5.449, 0.091)",0.057,0.268
non_HDL_C,ln_URXMHH,4085,-1.6956565681520035,1.1005339009674198,0.135459576133143,-1.6956565681520035,-3.9578363998150143,0.5665232635110076,Non-HDL-C,URXMHH,MEHHP,Phthalates,0.326221765203362,"-1.696 (-3.958, 0.567)",0.135,0.326
non_HDL_C,ln_URXMOH,4085,-3.9409763805571654,1.076858770120305,0.0011281350945458297,-3.9409763805571654,-6.15449128380021,-1.7274614773141206,Non-HDL-C,URXMOH,MEOHP,Phthalates,0.015793891323641614,"-3.941 (-6.154, -1.727)",0.001,0.016
non_HDL_C,ln_URXECP,4085,-3.033141313340844,1.130736461696985,0.012533432741051944,-3.033141313340844,-5.357403397705876,-0.7088792289758121,Non-HDL-C,URXECP,MECPP,Phthalates,0.08773402918736362,"-3.033 (-5.357, -0.709)",0.013,0.088
non_HDL_C,ln_URXMZP,4085,0.429078421059167,0.9432517868530927,0.652961999890826,0.429078421059167,-1.5098033948698573,2.3679602369881914,Non-HDL-C,URXMZP,MBzP,Phthalates,0.7617889998726304,"0.429 (-1.510, 2.368)",0.653,0.762
non_HDL_C,ln_URXCOP,4085,-0.7614792831675302,0.8873253662504637,0.39863893018729724,-0.7614792831675302,-2.585402695149927,1.0624441288148665,Non-HDL-C,URXCOP,MCOP,Plasticizers,0.5531572001659127,"-0.761 (-2.585, 1.062)",0.399,0.553
non_HDL_C,ln_URXCNP,4085,-0.8034935507223362,1.0124930864744248,0.4346235144160743,-0.8034935507223362,-2.8847028963929002,1.2777157949482278,Non-HDL-C,URXCNP,MCNP,Plasticizers,0.5531572001659127,"-0.803 (-2.885, 1.278)",0.435,0.553
non_HDL_C,ln_URXMNP,4085,-0.34872194620640906,1.2608993390281673,0.784300062149568,-0.34872194620640906,-2.940537656744147,2.243093764331329,Non-HDL-C,URXMNP,MNP,Plasticizers,0.8446308361610733,"-0.349 (-2.941, 2.243)",0.784,0.845
non_HDL_C,ln_URXMONP,1285,NA,NA,NA,NA,NA,NA,Non-HDL-C,URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
