model_id,model_label,model_role,outcome,outcome_label,exposure,exposure_label,exposure_type,source_terms_requested,source_terms_used,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,beta_main,effect_main,p_main,q_main,n_main,same_direction_as_main,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,source_adjusted_decision
M0,Main model,Reference,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,,,4124,0.08824356786813228,0.024694205597838147,0.0014068219042473397,0.08824356786813228,0.037483901297876356,0.13900323443838822,Nominal positive,0.004268408284008197,"0.088 (0.037, 0.139)",0.001,0.004,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,0.004268408284008197,4124,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,4124,0.0874247286926397,0.024510851473075503,0.0016379857711377645,0.0874247286926397,0.03672016925501113,0.13812928813026829,Nominal positive,0.005221351822815775,"0.087 (0.037, 0.138)",0.002,0.005,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,0.004268408284008197,4124,TRUE,0.9907206927907061,0.927930720929393,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,ln_MEP_z,ln_MEP_z,4124,0.08869577999667179,0.02484672096875427,0.0014817154239526507,0.08869577999667179,0.03752300025201861,0.13986855974132498,Nominal positive,0.004646683695173182,"0.089 (0.038, 0.140)",0.001,0.005,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,0.004268408284008197,4124,TRUE,1.0051245902615278,-0.5124590261527784,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,4124,0.08794424896625477,0.024700934070460156,0.0017508627604477264,0.08794424896625477,0.03671764704545449,0.13917085088705505,Nominal positive,0.005663679201733708,"0.088 (0.037, 0.139)",0.002,0.006,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,0.004268408284008197,4124,TRUE,0.9966080371736011,0.33919628263988644,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,4124,0.08765803408222554,0.02482883248471907,0.0022351270608021367,0.08765803408222554,0.0356906904488341,0.13962537771561698,Nominal positive,0.006148318548437542,"0.088 (0.036, 0.140)",0.002,0.006,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,0.004268408284008197,4124,TRUE,0.9933645726249222,0.6635427375077829,1,Robust after source adjustment
M0,Main model,Reference,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,,,4125,0.06756372827662717,0.019897473445607872,0.0021342041420040984,0.06756372827662717,0.026737485060072813,0.10838997149318153,Nominal positive,0.004268408284008197,"0.068 (0.027, 0.108)",0.002,0.004,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,0.004268408284008197,4125,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,4125,0.06589826289134697,0.01962159857825728,0.0026106759114078873,0.06589826289134697,0.02540127380883926,0.10639525197385467,Nominal positive,0.005221351822815775,"0.066 (0.025, 0.106)",0.003,0.005,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,0.004268408284008197,4125,TRUE,0.9753497116313466,2.465028836865335,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,ln_MEP_z,ln_MEP_z,4125,0.06912259970381465,0.020727557523078945,0.0025740250570203795,0.06912259970381465,0.026516495023962333,0.11172870438366697,Nominal positive,0.004646683695173182,"0.069 (0.027, 0.112)",0.003,0.005,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,0.004268408284008197,4125,TRUE,1.0230726081427148,-2.3072608142714834,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,4125,0.06798308722168807,0.02048539315213867,0.0029929700661962527,0.06798308722168807,0.025605822775090152,0.11036035166828598,Nominal positive,0.005663679201733708,"0.068 (0.026, 0.110)",0.003,0.006,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,0.004268408284008197,4125,TRUE,1.0062068650703215,-0.6206865070321532,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,4125,0.06812500313523778,0.020240211851811005,0.003074159274218771,0.06812500313523778,0.025904661047442684,0.11034534522303288,Nominal positive,0.006148318548437542,"0.068 (0.026, 0.110)",0.003,0.006,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,0.004268408284008197,4125,TRUE,1.008307339943003,-0.8307339943002923,1,Robust after source adjustment
