mixture_name,outcome,outcome_label,n_eligible_before_subsample,n_bkmr,iter,max_n_per_model,sampling_seed,quantile,est,sd,q_value_plot,est_plot,sd_plot,low_plot,high_plot
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.6000000000000001,0.020476520130975867,0.015278911570825001,0.6000000000000001,0.020476520130975867,0.015278911570825001,-0.009470146547841136,0.050423186809792866
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.65,0.022392459384511176,0.01709660749227091,0.65,0.022392459384511176,0.01709660749227091,-0.011116891300339812,0.055901810069362165
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.7,0.02796795785504949,0.021851222619380446,0.7,0.02796795785504949,0.021851222619380446,-0.014860438478936186,0.07079635418903517
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.75,0.03874610836645653,0.029199702771498488,0.75,0.03874610836645653,0.029199702771498488,-0.0184853090656805,0.09597752579859356
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.25,-0.006997253135670942,0.033538071868038956,0.25,-0.006997253135670942,0.033538071868038956,-0.0727318739970273,0.05873736772568541
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.3,-0.012790752699383179,0.024433606100945297,0.3,-0.012790752699383179,0.024433606100945297,-0.06068062065723596,0.0350991152584696
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.35,-0.01688984676635577,0.01977925605246158,0.35,-0.01688984676635577,0.01977925605246158,-0.05565718862918046,0.02187749509646892
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.4,-0.0024793211490356237,0.01426680930437947,0.4,-0.0024793211490356237,0.01426680930437947,-0.030442267385619382,0.025483625087548135
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.45,0.0010163353078319615,0.007575493311057376,0.45,0.0010163353078319615,0.007575493311057376,-0.013831631581840495,0.01586430219750442
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.5,0,0,0.5,0,0,0,0
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.55,0.006087215380492922,0.006408761013191464,0.55,0.006087215380492922,0.006408761013191464,-0.006473956205362348,0.018648386966348192
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.6000000000000001,0.006122981008112843,0.01119698860566938,0.6000000000000001,0.006122981008112843,0.01119698860566938,-0.01582311665899914,0.028069078675224828
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.65,0.011611120160539237,0.01612930448105955,0.65,0.011611120160539237,0.01612930448105955,-0.02000231662233748,0.043224556943415954
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.7,0.018134359448294404,0.021917391417001875,0.7,0.018134359448294404,0.021917391417001875,-0.02482372772902927,0.06109244662561808
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,0.75,0.02832935877220498,0.029310084006107802,0.75,0.02832935877220498,0.029310084006107802,-0.02911840587976631,0.08577712342417626
