chemical_label,GeneSymbol,GeneID,mechanism_panel,n_interactions,n_pubmed_total,organisms,interaction_directions,example_interactions,pubmed_ids
Diethylhexyl Phthalate,TUBB3,10381,Other CTD gene,7,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of TUBB3 mRNA | Diethylhexyl Phthalate results in increased expression of TUBB3 mRNA | [diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with Dibutyl Phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the expression of TUBB3 mRNA,37536456|31163220|39150890|20920545|37690569|31199487
Diethylhexyl Phthalate,ABCA1,19,Other CTD gene,6,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation; other / unspecified,Colforsin promotes the reaction [Diethylhexyl Phthalate results in decreased expression of ABCA1 mRNA] | Diethylhexyl Phthalate results in decreased expression of ABCA1 mRNA | Diethylhexyl Phthalate results in decreased expression of ABCA1 protein,37536456|36774801|34319233|39150890|23756648
Diethylhexyl Phthalate,ACADVL,37,Other CTD gene,6,7,Homo sapiens; Mus musculus; Rattus norvegicus,increase / activation,Diethylhexyl Phthalate results in increased expression of ACADVL mRNA | [PPARA protein affects the susceptibility to Diethylhexyl Phthalate] which results in increased expression of ACADVL protein | Diethylhexyl Phthalate results in increased expression of ACADVL protein,21354252|22792086|19850644|22672789
Diethylhexyl Phthalate,ACLY,47,Other CTD gene,6,7,Mus musculus,decrease / inhibition; increase / activation,[bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with diethyl phthalate co-treated with di-n-octyl phthalate co-treated with diisodecyl phthalate co-treated with diisononyl phthalate] results in increased expression of ACLY mRNA | Diethylhexyl Phthalate results in increased expression of ACLY mRNA | [diisononyl phthalate co-treated with Diethylhexyl Phthalate] results in decreased methylation of ACLY gene,35739755|19850644|35550907|33391822|28433925
Diethylhexyl Phthalate,GOT1,2805,Other CTD gene,6,7,Coturnix japonica; Gallus gallus; Mus musculus,increase / activation,Diethylhexyl Phthalate results in increased expression of GOT1 protein | Diethylhexyl Phthalate results in increased activity of GOT1 protein | [bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with diethyl phthalate co-treated with di-n-octyl phthalate co-treated with diisodecyl phthalate co-treated with diisononyl phthalate] results in increased expression of GOT1 protein,30257229|37259793|35739755|36438553|37753369
Diethylhexyl Phthalate,GSR,2936,Other CTD gene,6,7,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of GSR mRNA | Diethylhexyl Phthalate results in increased expression of GSR mRNA | [diethyl phthalate co-treated with Dibutyl Phthalate co-treated with diisobutyl phthalate co-treated with Diethylhexyl Phthalate co-treated with butylbenzyl phthalate co-treated with diisononyl phthalate] results in decreased expression of GSR mRNA,31211961|33754040|39947446|28013214|26854921|40618915
Diethylhexyl Phthalate,HP,3240,Other CTD gene,6,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation,Asian ginseng inhibits the reaction [Diethylhexyl Phthalate results in decreased expression of HP mRNA] | Diethylhexyl Phthalate results in decreased expression of HP mRNA | Diethylhexyl Phthalate inhibits the reaction [[Streptozocin co-treated with Dietary Fats] results in increased expression of HP mRNA],35818422|33484791|19850644|39150890
Diethylhexyl Phthalate,HSD17B1,3292,Other CTD gene,6,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in increased expression of HSD17B1 mRNA | Diethylhexyl Phthalate affects the expression of HSD17B1 mRNA | Diethylhexyl Phthalate results in decreased expression of HSD17B1 mRNA,31163220|25701202|31211961|32235866|31369804|30090590|36674726
Diethylhexyl Phthalate,HSP90AA1,3320,Other CTD gene,6,7,Coturnix japonica; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of HSP90AA1 mRNA | Diethylhexyl Phthalate results in decreased expression of HSP90AA1 protein | Diethylhexyl Phthalate results in increased expression of HSP90AA1 mRNA,31063915|21318169|35550907
Diethylhexyl Phthalate,HSP90AB1,3326,Other CTD gene,6,7,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of HSP90AB1 mRNA | Diethylhexyl Phthalate results in increased expression of HSP90AB1 mRNA | [bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate] affects the methylation of HSP90AB1 promoter,33754040|26845775|23359474|26361869|21318169
Diethylhexyl Phthalate,IGF2R,3482,Other CTD gene,6,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased methylation of IGF2R promoter | Diethylhexyl Phthalate affects the expression of IGF2R mRNA | Diethylhexyl Phthalate affects the methylation of IGF2R gene,33424850|21636974|38833407|34319233|25607892
Diethylhexyl Phthalate,INS2,16334,Other CTD gene,6,7,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,[Diethylhexyl Phthalate co-treated with Streptozocin co-treated with Dietary Fats] results in increased expression of INS2 mRNA | Diethylhexyl Phthalate inhibits the reaction [[Streptozocin co-treated with Dietary Fats] results in decreased expression of INS2 mRNA] | Diethylhexyl Phthalate results in increased expression of INS2 mRNA,33484791|31606821|21673306|25280772
Diethylhexyl Phthalate,INSIG2,51141,Other CTD gene,6,7,Macaca mulatta; Mus musculus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of INSIG2 mRNA | Diethylhexyl Phthalate affects the expression of INSIG2 mRNA | Diethylhexyl Phthalate results in increased expression of INSIG2 mRNA,27614199|19850644|19245819|34319233|28433925
Diethylhexyl Phthalate,METTL3,56339,Other CTD gene,6,7,Mus musculus,increase / activation,Diethylhexyl Phthalate results in increased expression of METTL3 mRNA | Diethylhexyl Phthalate results in increased expression of METTL3 protein | METTL3 promotes the reaction [Diethylhexyl Phthalate results in increased expression of and results in increased stability of and results in increased methylation of FAAP20 mRNA],36423848|36174712
Diethylhexyl Phthalate,PCNA,5111,Other CTD gene,6,7,Danio rerio; Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in increased expression of PCNA mRNA | Diethylhexyl Phthalate results in decreased expression of PCNA mRNA | Diethylhexyl Phthalate results in decreased expression of PCNA protein,33120273|31163220|33754040|36423848|37364752|26316063
