strata,strata_level,outcome,outcome_label,label,exposure,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt
Obesity_status,Non_obese,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,1167,0.09173932232824131,0.02394131791428833,6.583850675916318e-4,9.607906149891864,4.362241828011504,15.117238573337112,9.875776013874476e-4,"9.608 (4.362, 15.117)",<0.001,<0.001
Obesity_status,Non_obese,HbA1c,HbA1c,MEHHP,ln_URXMHH,2428,0.04395574247805603,0.018509298604443752,0.02522202994201083,0.04395574247805603,0.005909334307990462,0.08200215064812161,0.07566608982603248,"0.044 (0.006, 0.082)",0.025,0.076
Obesity_status,Non_obese,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,1167,0.08129824160691429,0.024591704879902174,0.0026007802288165655,8.469434931657993,3.1407544787988018,14.073417184588056,0.0026007802288165655,"8.469 (3.141, 14.073)",0.003,0.003
Obesity_status,Non_obese,HbA1c,HbA1c,MEOHP,ln_URXMOH,2428,0.041591859304156306,0.020469017350827606,0.052494660852587964,0.041591859304156306,-4.828084405615815e-4,0.0836665270488742,0.07874199127888194,"0.042 (-0.000, 0.084)",0.052,0.079
Obesity_status,Non_obese,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,1167,0.07591663412556239,0.019237303337512873,4.851631680995937e-4,7.887262924802396,3.7185510311154912,12.223525933307243,9.875776013874476e-4,"7.887 (3.719, 12.224)",<0.001,<0.001
Obesity_status,Non_obese,HbA1c,HbA1c,MECPP,ln_URXECP,2428,0.032213834890748784,0.020752483665545076,0.13268211372286373,0.032213834890748784,-0.010443506208734472,0.07487117599023205,0.13268211372286373,"0.032 (-0.010, 0.075)",0.133,0.133
Obesity_status,Obese,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,800,0.0575246481609735,0.039546394852174135,0.157304575316093,5.921137794553122,-2.3341132937150233,14.874167532343986,0.23595686297413948,"5.921 (-2.334, 14.874)",0.157,0.236
Obesity_status,Obese,HbA1c,HbA1c,MEHHP,ln_URXMHH,1668,0.11005063303924562,0.03427055757626507,0.0033096708927144664,0.11005063303924562,0.03985057814671912,0.18025068793177212,0.0033096708927144664,"0.110 (0.040, 0.180)",0.003,0.003
Obesity_status,Obese,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,800,0.0416117375372552,0.044124831471898156,0.35401997826246023,4.248964056888105,-4.774739520027616,14.127768747033809,0.35401997826246023,"4.249 (-4.775, 14.128)",0.354,0.354
Obesity_status,Obese,HbA1c,HbA1c,MEOHP,ln_URXMOH,1668,0.14333513293832637,0.03440094941501861,2.684054944559252e-4,0.14333513293832637,0.0728679824720653,0.21380228340458743,8.052164833677756e-4,"0.143 (0.073, 0.214)",<0.001,<0.001
Obesity_status,Obese,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,800,0.0810991232322307,0.043622128164048535,0.07394035639825673,8.447838824233811,-0.8370858140921089,18.60213913840734,0.22182106919477018,"8.448 (-0.837, 18.602)",0.074,0.222
Obesity_status,Obese,HbA1c,HbA1c,MECPP,ln_URXECP,1668,0.1459979849489847,0.03994926876559059,0.001052165029461285,0.1459979849489847,0.06416561750005124,0.22783035239791816,0.0015782475441919277,"0.146 (0.064, 0.228)",0.001,0.002
