outcome,outcome_label,exposure,exposure_label,exposure_value,estimate,low,high,n,ref_value,knot_1,knot_2,knot_3,knot_4,p_overall,p_nonlinear,p_overall_fmt,p_nonlinear_fmt,include_creatinine,x_label,y_label,panel,panel_title,annotation
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.8733817418732457,-0.1798274618057653,-0.2835995771803993,-0.07605534643113131,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.8365586285578894,-0.1772943463404757,-0.2781666877694383,-0.07642200491151306,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.799735515242533,-0.17460280172967382,-0.2727243800846838,-0.07648122337466386,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.762912401927177,-0.17174124216420197,-0.267248506467607,-0.07623397786079697,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.7260892886118206,-0.16869808183490237,-0.26171210303590436,-0.07568406063390039,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.6892661752964644,-0.1654617349326173,-0.25608552691071734,-0.07483794295451725,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.652443061981108,-0.16202061564818895,-0.250336662429503,-0.07370456886687493,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.615619948665752,-0.1583631381724596,-0.2444311861554863,-0.07229509018943286,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.5787968353503956,-0.15447771669627153,-0.23833287661366076,-0.07062255677888231,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.54197372203504,-0.150352765410467,-0.23200395231957524,-0.06870157850135875,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.5051506087196835,-0.14597669850588818,-0.2254054210258093,-0.06654797598596707,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.4683274954043273,-0.14133793017337734,-0.21849742411245388,-0.0641784362343008,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.431504382088971,-0.13642487460377675,-0.2112395623763625,-0.061610186831191016,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.3946812687736148,-0.13122594598792867,-0.20359119267285286,-0.05886069930300447,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.3578581554582585,-0.12572955851667533,-0.19551168844592764,-0.055947428587423034,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.3210350421429027,-0.1199241263808591,-0.18696066072884154,-0.05288759203287664,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.2842119288275464,-0.11379806377132198,-0.17789813942159804,-0.049697988121045936,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.24738881551219,-0.10733978487890639,-0.16828471744929518,-0.04639485230851758,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.210565702196834,-0.10053770389445453,-0.15808166288398762,-0.04299374490492143,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.1737425888814776,-0.09338023500880864,-0.1472510066793025,-0.03950946333831478,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.1369194755661214,-0.08585953116993016,-0.1357626815824986,-0.03595638075736171,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.100096362250765,-0.07800100442108332,-0.1236508138433455,-0.03235119499882113,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
