priority,outcome,outcome_label,exposure,exposure_label,modifier,modifier_label,level,n,beta,se,p_value,effect,effect_low,effect_high,result,p_interaction,q_interaction,p_interaction_fmt,q_interaction_fmt,interaction_interpretation,effect_CI,p_value_fmt
Exploratory,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Other Hispanic,429,0.11387542366977063,0.09065666407043685,0.22116388652207247,0.11387542366977063,-0.07323073490719909,0.3009815822467403,Positive direction,0.19946202863539667,0.19946202863539667,0.199,0.199,No clear interaction,"0.114 (-0.073, 0.301)",0.221
Exploratory,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Non-Hispanic Black,909,0.023101316784900395,0.050277047550112995,0.6497080896535825,0.023101316784900395,-0.0802446345424044,0.1264472681122052,Positive direction,0.19946202863539667,0.19946202863539667,0.199,0.199,No clear interaction,"0.023 (-0.080, 0.126)",0.650
Exploratory,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Non-Hispanic Asian,450,0.13708375709986542,0.05023815013141762,0.0122620370794378,0.13708375709986542,0.032896210560999326,0.2412713036387315,Nominal positive,0.19946202863539667,0.19946202863539667,0.199,0.199,No clear interaction,"0.137 (0.033, 0.241)",0.012
Exploratory,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Other/Multi-racial,158,0.1689038428825188,0.07076116609327221,0.029679231577290865,0.1689038428825188,0.01889687190231573,0.3189108138627219,Nominal positive,0.19946202863539667,0.19946202863539667,0.199,0.199,No clear interaction,"0.169 (0.019, 0.319)",0.030
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,sex_group,Sex,Male,1983,0.02569620555720837,0.028369429792711176,0.3725214861690269,0.02569620555720837,-0.03232579318524716,0.0837182042996639,Positive direction,0.07190153747192166,0.10785230620788248,0.072,0.108,Suggestive interaction,"0.026 (-0.032, 0.084)",0.373
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,sex_group,Sex,Female,2142,0.1046636528157105,0.03266499162230474,0.003369516219773219,0.1046636528157105,0.03775245068989963,0.17157485494152136,Nominal positive,0.07190153747192166,0.10785230620788248,0.072,0.108,Suggestive interaction,"0.105 (0.038, 0.172)",0.003
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,age_group,Age group,20-39,1349,0.028013789603622337,0.017534815113607445,0.12097048246652833,0.028013789603622337,-0.007848934036044135,0.0638765132432888,Positive direction,0.11584184866631655,0.13901021839957986,0.116,0.139,No clear interaction,"0.028 (-0.008, 0.064)",0.121
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,age_group,Age group,40-59,1388,0.11066716633942979,0.042161754554338605,0.013885377729885158,0.11066716633942979,0.024302727199704416,0.19703160547915516,Nominal positive,0.11584184866631655,0.13901021839957986,0.116,0.139,No clear interaction,"0.111 (0.024, 0.197)",0.014
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,age_group,Age group,>=60,1388,0.10469929325856119,0.052274424166607436,0.054957794664775066,0.10469929325856119,-0.002380010537551408,0.21177859705467378,Positive direction,0.11584184866631655,0.13901021839957986,0.116,0.139,No clear interaction,"0.105 (-0.002, 0.212)",0.055
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,obesity_status,Obesity status,Non-obese,2429,0.02021248032157308,0.017920608014000125,0.26928960556003995,0.02021248032157308,-0.016557570075433535,0.05698253071857969,Positive direction,0.04104380034027064,0.10785230620788248,0.041,0.108,Nominal interaction,"0.020 (-0.017, 0.057)",0.269
Primary,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,obesity_status,Obesity status,Obese,1668,0.09624509619320436,0.043037481883560276,0.033189115493343725,0.09624509619320436,0.008223562522197664,0.18426662986421105,Nominal positive,0.04104380034027064,0.10785230620788248,0.041,0.108,Nominal interaction,"0.096 (0.008, 0.184)",0.033
Exploratory,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Non-Hispanic White,1590,0.05151415150787547,0.02471245179589301,0.04469373774626044,0.05151415150787547,0.001292407033893106,0.10173589598185784,Nominal positive,0.014197634843286795,0.02839526968657359,0.014,0.028,FDR-significant interaction,"0.052 (0.001, 0.102)",0.045
Exploratory,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Mexican American,588,-0.07101339154497967,0.11002132393174846,0.5272512841561112,-0.07101339154497967,-0.30313809467002806,0.1611113115800687,Negative direction,0.014197634843286795,0.02839526968657359,0.014,0.028,FDR-significant interaction,"-0.071 (-0.303, 0.161)",0.527
Exploratory,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Other Hispanic,429,0.13593276383119413,0.03848412477885841,0.001628484344010923,0.13593276383119413,0.05667322518016675,0.2151923024822215,Nominal positive,0.014197634843286795,0.02839526968657359,0.014,0.028,FDR-significant interaction,"0.136 (0.057, 0.215)",0.002
Exploratory,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Non-Hispanic Black,909,0.10023688034341643,0.0675957987851331,0.14968415576404664,0.10023688034341643,-0.03845824238978063,0.2389320030766135,Positive direction,0.014197634843286795,0.02839526968657359,0.014,0.028,FDR-significant interaction,"0.100 (-0.038, 0.239)",0.150
Exploratory,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Non-Hispanic Asian,451,0.16419056997431566,0.04500291630376619,0.0013408914307669112,0.16419056997431566,0.07109494467147827,0.2572861952771531,Nominal positive,0.014197634843286795,0.02839526968657359,0.014,0.028,FDR-significant interaction,"0.164 (0.071, 0.257)",0.001
Exploratory,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Other/Multi-racial,158,0.12000411260354417,0.08474559359486364,0.1748221590371206,0.12000411260354417,-0.058793460915630466,0.2988016861227188,Positive direction,0.014197634843286795,0.02839526968657359,0.014,0.028,FDR-significant interaction,"0.120 (-0.059, 0.299)",0.175
