scenario,outcome,outcome_label,label,exposure,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
A_Main_Model2,TyG,TyG index,MECPP,ln_URXECP,1969,0.02261577604533215,0.02589518289067898,0.3898966223753463,0.02261577604533215,-0.030428101526028702,0.075659653616693,0.5198621631671283,"0.023 (-0.030, 0.076)",0.390,0.520,positive
B_Exclude_diabetes,TyG,TyG index,MECPP,ln_URXECP,1639,-0.013338620422764754,0.02498915034615754,0.5977086663295107,-0.013338620422764754,-0.06452657445922896,0.03784933361369945,0.7969448884393475,"-0.013 (-0.065, 0.038)",0.598,0.797,negative
C_Trim_exposure_P1_P99,TyG,TyG index,MECPP,ln_URXECP,1934,0.03388522307403938,0.02957794433122217,0.26164800237497043,0.03388522307403938,-0.026702449333658285,0.09447289548173704,0.34886400316662725,"0.034 (-0.027, 0.094)",0.262,0.349,positive
D_Lifestyle_adjusted,TyG,TyG index,MECPP,ln_URXECP,1279,-0.009740001732309414,0.03446828675358895,0.782746247884494,-0.009740001732309414,-0.0856041893707419,0.06612418590612307,0.782746247884494,"-0.010 (-0.086, 0.066)",0.783,0.783,negative
E_Creatinine_corrected_exposure,TyG,TyG index,MECPP,cr_ln_URXECP,1969,0.01976931484169515,0.026710957802926143,0.46517729226209903,0.01976931484169515,-0.03486072782660522,0.07439935750999553,0.6202363896827987,"0.020 (-0.035, 0.074)",0.465,0.620,positive
A_Main_Model2,ln_TG_HDL,ln(TG/HDL-C),MECPP,ln_URXECP,1969,0.019430334255480113,0.030295402498177734,0.526502832890029,1.9620331776790234,-4.173122756818259,8.489982234768402,0.7020037771867053,"1.962 (-4.173, 8.490)",0.527,0.702,positive
B_Exclude_diabetes,ln_TG_HDL,ln(TG/HDL-C),MECPP,ln_URXECP,1639,-0.009938435709544205,0.03199068588036572,0.758355042232729,-0.9889212659038193,-7.2690953181699385,5.716575781560951,0.9144098476782839,"-0.989 (-7.269, 5.717)",0.758,0.914,negative
C_Trim_exposure_P1_P99,ln_TG_HDL,ln(TG/HDL-C),MECPP,ln_URXECP,1934,0.02837970529330319,0.03317852983424805,0.399610311396548,2.8786245850838554,-3.8810243505350783,10.113651596926276,0.5882430520145708,"2.879 (-3.881, 10.114)",0.400,0.588,positive
D_Lifestyle_adjusted,ln_TG_HDL,ln(TG/HDL-C),MECPP,ln_URXECP,1279,-0.024656915756780775,0.04200533843620515,0.5690589233002681,-2.4355417101726617,-11.05126934509084,7.0147201798445025,0.7199189846100338,"-2.436 (-11.051, 7.015)",0.569,0.720,negative
E_Creatinine_corrected_exposure,ln_TG_HDL,ln(TG/HDL-C),MECPP,cr_ln_URXECP,1969,0.016445114602842932,0.031169121900703638,0.6017844394457676,1.658107979854262,-4.620154926534381,8.34962994628199,0.8023792525943568,"1.658 (-4.620, 8.350)",0.602,0.802,positive
