outcome,outcome_label,exposure,exposure_label,exposure_family,model_type,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference
HbA1c,HbA1c,ln_MEOHP_MEHP_ratio,ln(MEOHP/MEHP),Single log-ratio,composition_plus_total_burden,4124,0.0727488698398734,0.024819584031015793,0.007120623707868146,0.0727488698398734,0.02163197966469628,0.12386576001505052,Nominal positive,0.015596953143910918,"0.073 (0.022, 0.124)",0.007,0.016,FDR-significant positive association
HbA1c,HbA1c,ln_MECPP_MEHP_ratio,ln(MECPP/MEHP),Single log-ratio,composition_only,4125,0.06507991222392041,0.01755587630035407,9.556139423090337e-4,0.06507991222392041,0.029058229487300927,0.1011015949605399,Nominal positive,0.0014334209134635504,"0.065 (0.029, 0.101)",<0.001,0.001,FDR-significant positive association
HbA1c,HbA1c,ln_MECPP_MEHP_ratio,ln(MECPP/MEHP),Single log-ratio,composition_plus_total_burden,4124,0.056595327299008485,0.019869361843442283,0.008664973968839399,0.056595327299008485,0.01567361056383377,0.09751704403418321,Nominal positive,0.015596953143910918,"0.057 (0.016, 0.098)",0.009,0.016,FDR-significant positive association
HbA1c,HbA1c,clr_MEHP,clr(MEHP),CLR,composition_only,4125,-0.10372537453903116,0.02352303477763609,1.4870133277950997e-4,-0.10372537453903116,-0.15199065513601193,-0.0554600939420504,Nominal negative,4.3410913087084147e-4,"-0.104 (-0.152, -0.055)",<0.001,<0.001,Nominal negative association
HbA1c,HbA1c,clr_MEHP,clr(MEHP),CLR,composition_plus_total_burden,4124,-0.0940168274640092,0.030179397933745484,0.004569869256664321,-0.0940168274640092,-0.15617246100744125,-0.031861193920577166,Nominal negative,0.013804828132437687,"-0.094 (-0.156, -0.032)",0.005,0.014,Nominal negative association
HbA1c,HbA1c,clr_MEHHP,clr(MEHHP),CLR,composition_only,4125,0.14822929407016228,0.06095685726014596,0.02193986112774191,0.14822929407016228,0.023156154155061975,0.27330243398526255,Nominal positive,0.024682343768709647,"0.148 (0.023, 0.273)",0.022,0.025,FDR-significant positive association
HbA1c,HbA1c,clr_MEHHP,clr(MEHHP),CLR,composition_plus_total_burden,4124,0.07900295529090391,0.07460992805022988,0.29977864433189017,0.07900295529090391,-0.0746590679466942,0.23266497852850204,Positive direction,0.29977864433189017,"0.079 (-0.075, 0.233)",0.300,0.300,Positive but not significant
HbA1c,HbA1c,clr_MEOHP,clr(MEOHP),CLR,composition_only,4125,0.2064807254381929,0.061529138938176756,0.002361640280024242,0.2064807254381929,0.08023336051208646,0.33272809036429934,Nominal positive,0.003036394645745454,"0.206 (0.080, 0.333)",0.002,0.003,FDR-significant positive association
HbA1c,HbA1c,clr_MEOHP,clr(MEOHP),CLR,composition_plus_total_burden,4124,0.17690823187149393,0.08472361338653277,0.047137996436521175,0.17690823187149393,0.00241668377336432,0.35139977996962357,Nominal positive,0.06060599541838437,"0.177 (0.002, 0.351)",0.047,0.061,Nominal positive association
HbA1c,HbA1c,clr_MECPP,clr(MECPP),CLR,composition_only,4125,0.08434742495604138,0.055541942796482946,0.1404805865257734,0.08434742495604138,-0.02961522821838468,0.19831007813046742,Positive direction,0.1404805865257734,"0.084 (-0.030, 0.198)",0.140,0.140,Positive but not significant
HbA1c,HbA1c,clr_MECPP,clr(MECPP),CLR,composition_plus_total_burden,4124,0.07195423592409349,0.05659283235371343,0.21527525981315548,0.07195423592409349,-0.044600884117883474,0.18850935596607044,Positive direction,0.24218466728979993,"0.072 (-0.045, 0.189)",0.215,0.242,Positive but not significant
