outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI
iauc_2h_per1000,2h iAUC,macro_context_interaction,fat_10g,0.025750510378165253,0.05184858219974551,0.4966483033029136,0.6194370840467865,-0.07587271073333594,0.12737373148966646,1480,39,1000 mg/dL*min,0.6463691311792555,"0.026 (-0.076, 0.127)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,fiber_5g,-0.21855004027484834,0.10787919556868611,-2.0258775487039915,0.042777334485667014,-0.4299932635894731,-0.007106816960223555,1480,39,1000 mg/dL*min,0.06416600172850052,"-0.219 (-0.430, -0.007)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,msi_core_centered,1.169631167218142,0.2921257737097005,4.003861598259594,6.231683080253255e-05,0.5970646507471291,1.742197683689155,1480,39,1000 mg/dL*min,0.00017947247271129377,"1.170 (0.597, 1.742)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,carbs_x_msi,0.04114346536423546,0.02696275927273324,1.5259367540266107,0.12702561622751465,-0.011703542810321696,0.09399047353879261,1480,39,1000 mg/dL*min,0.163318649435376,"0.041 (-0.012, 0.094)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,baseline_glucose_z,-0.42826478952852987,0.12652843436792754,-3.3847315954546144,0.0007124788594315547,-0.6762605208896678,-0.1802690581673919,1480,39,1000 mg/dL*min,0.0015087787611491746,"-0.428 (-0.676, -0.180)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,meal_hour_sin,0.9494543410211631,0.29920481643916824,3.173258881058815,0.0015073805025384633,0.3630129008003934,1.535895781241933,1480,39,1000 mg/dL*min,0.002933280977912685,"0.949 (0.363, 1.536)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,meal_hour_cos,0.13741586874662914,0.21589334244985092,0.6364988710967268,0.5244513165422222,-0.28573508245507867,0.5605668199483369,1480,39,1000 mg/dL*min,0.5635894744931343,"0.137 (-0.286, 0.561)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,activity_calories_pre30_z,-0.22226566664361885,0.13362428581804223,-1.6633628032727572,0.09623983416600723,-0.48416926684698164,0.03963793355974393,1480,39,1000 mg/dL*min,0.1352709761920379,"-0.222 (-0.484, 0.040)"
peak_delta_2h,2h peak delta,base_interaction,Intercept,44.790106762617015,4.251591417253412,10.534903843500572,5.964420118872199e-26,36.45698758480033,53.1232259404337,1498,40,mg/dL,2.1471912427939915e-24,"44.790 (36.457, 53.123)"
peak_delta_2h,2h peak delta,base_interaction,carbs_10g,2.48417511008562,0.29403938203647356,8.448443514200678,2.952120261466582e-17,1.907857921294132,3.0604922988771084,1498,40,mg/dL,5.313816470639848e-16,"2.484 (1.908, 3.060)"
peak_delta_2h,2h peak delta,base_interaction,msi_core_centered,17.35623491591392,3.935286774384564,4.410411721170751,1.0317426151565287e-05,9.643072838120174,25.069396993707663,1498,40,mg/dL,3.5374032519652414e-05,"17.356 (9.643, 25.069)"
peak_delta_2h,2h peak delta,base_interaction,carbs_x_msi,0.4878566784156677,0.3893920740624812,1.2528675104398428,0.2102539275226613,-0.2753517867467955,1.2510651435781308,1498,40,mg/dL,0.2523047130271936,"0.488 (-0.275, 1.251)"
peak_delta_2h,2h peak delta,base_interaction,baseline_glucose_z,-8.565922722295074,1.7998227791460408,-4.759314540045623,1.9425151941609107e-06,-12.093575369421314,-5.038270075168834,1498,40,mg/dL,7.361110209451872e-06,"-8.566 (-12.094, -5.038)"
peak_delta_2h,2h peak delta,base_interaction,meal_hour_sin,16.131733017679814,3.7951758713712818,4.250589054217152,2.1320904136235602e-05,8.693188309792102,23.570277725567525,1498,40,mg/dL,6.674369990473754e-05,"16.132 (8.693, 23.570)"
peak_delta_2h,2h peak delta,base_interaction,meal_hour_cos,6.778836804226202,2.861123684518261,2.3692917719380535,0.017822187535570452,1.1710343825704115,12.386639225881993,1498,40,mg/dL,0.03055232148954935,"6.779 (1.171, 12.387)"
peak_delta_2h,2h peak delta,macro_context_interaction,Intercept,48.267756266655454,4.304947349041137,11.212159488409627,3.554146482960644e-29,39.83005946253483,56.70545307077608,1480,39,mg/dL,2.558985467731664e-27,"48.268 (39.830, 56.705)"
peak_delta_2h,2h peak delta,macro_context_interaction,carbs_10g,3.3432150905479276,0.4181891737597957,7.994504163008873,1.3009636318736027e-15,2.523564309978728,4.162865871117127,1480,39,mg/dL,1.3381340213557056e-14,"3.343 (2.524, 4.163)"
peak_delta_2h,2h peak delta,macro_context_interaction,protein_10g,-2.1532278586292333,0.4096057080226784,-5.256830694629912,1.465591195879016e-07,-2.9560550463536828,-1.3504006709047836,1480,39,mg/dL,7.53732615023494e-07,"-2.153 (-2.956, -1.350)"
peak_delta_2h,2h peak delta,macro_context_interaction,fat_10g,0.1527201837889668,0.7739029270962667,0.19733764848516944,0.8435633193279238,-1.364129553319716,1.6695699208976498,1480,39,mg/dL,0.8557869949475827,"0.153 (-1.364, 1.670)"
peak_delta_2h,2h peak delta,macro_context_interaction,fiber_5g,-2.991810317918595,1.6099737246020762,-1.858297605855683,0.06312676364058654,-6.147358818138665,0.1637381823014743,1480,39,mg/dL,0.09090253964244463,"-2.992 (-6.147, 0.164)"
peak_delta_2h,2h peak delta,macro_context_interaction,msi_core_centered,18.882586027225123,4.250744002572262,4.442183772017008,8.905045206048027e-06,10.55112778218349,27.214044272266754,1480,39,mg/dL,3.2058162741772895e-05,"18.883 (10.551, 27.214)"
peak_delta_2h,2h peak delta,macro_context_interaction,carbs_x_msi,0.5155906458082782,0.3883804706080374,1.3275400923251475,0.1843300867377953,-0.24563507658347505,1.2768163682000315,1480,39,mg/dL,0.22882355595036658,"0.516 (-0.246, 1.277)"
peak_delta_2h,2h peak delta,macro_context_interaction,baseline_glucose_z,-9.33527232424872,1.7898131491068228,-5.2157803896498,1.830449408158746e-07,-12.843306096498093,-5.827238551999347,1480,39,mg/dL,8.78615715916198e-07,"-9.335 (-12.843, -5.827)"
peak_delta_2h,2h peak delta,macro_context_interaction,meal_hour_sin,15.218394745045629,3.7765011998882594,4.029760336232891,5.5833749382322295e-05,7.81645239326464,22.620337096826617,1480,39,mg/dL,0.0001675012481469669,"15.218 (7.816, 22.620)"
peak_delta_2h,2h peak delta,macro_context_interaction,meal_hour_cos,2.6202463784900374,2.9198192222775408,0.8974002083752883,0.3695054014068787,-3.102599297173942,8.343092054154017,1480,39,mg/dL,0.42910304679508493,"2.620 (-3.103, 8.343)"
peak_delta_2h,2h peak delta,macro_context_interaction,activity_calories_pre30_z,-4.036731187440859,1.7950218629915877,-2.248847922505653,0.02452217323979468,-7.554974038904371,-0.5184883359773469,1480,39,mg/dL,0.04012719257420947,"-4.037 (-7.555, -0.518)"
high_iauc_top_quartile,High iAUC top quartile,base_interaction,Intercept,0.17102166804429064,0.03964654978215965,4.313658287643678,1.6057507682290066e-05,0.09331443047125773,0.24872890561732355,1498,40,risk difference,5.2551843323858404e-05,"0.171 (0.093, 0.249)"
high_iauc_top_quartile,High iAUC top quartile,base_interaction,carbs_10g,0.020514051448587887,0.0038659764043116854,5.306305394339388,1.1186947277655626e-07,0.012936737696136985,0.02809136520103879,1498,40,risk difference,6.391881972097851e-07,"0.021 (0.013, 0.028)"
high_iauc_top_quartile,High iAUC top quartile,base_interaction,msi_core_centered,0.12884256922455908,0.033536565011778534,3.8418534867631102,0.00012210872103302626,0.06311090180147316,0.194574236647645,1498,40,risk difference,0.0002930609304792631,"0.129 (0.063, 0.195)"
high_iauc_top_quartile,High iAUC top quartile,base_interaction,carbs_x_msi,0.0035852247007689495,0.004731452911031209,0.7577428684559302,0.4486049302721586,-0.005688423004852221,0.01285887240639012,1498,40,risk difference,0.512691348882467,"0.004 (-0.006, 0.013)"
high_iauc_top_quartile,High iAUC top quartile,base_interaction,baseline_glucose_z,-0.03478042181819277,0.017121996011431825,-2.031329863350684,0.042221543937524406,-0.06833953400059914,-0.0012213096357863926,1498,40,risk difference,0.06416600172850052,"-0.035 (-0.068, -0.001)"
