model,outcome,exposure,component,n,beta,se,statistic,p,error,q
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMZP,MBzP,2733,0.04915725644796638,0.036839383324323474,1.3343669739311284,0.2116712858794672,NA,0.3514542105168512
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXCOP,MCOP,2733,0.06650815519721959,0.028401897747762327,2.341679974622805,0.04122132995942452,NA,0.15771639288823294
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXCNP,MCNP,2733,0.03986334046976499,0.02789912250060291,1.4288385044692185,0.18353389440008464,NA,0.32961189198382546
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMNP,MiNP_or_MNP,2733,-0.006913073767840601,0.02697672934782114,-0.25626063407122984,0.8029442638433641,NA,0.8513144002194705
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMHP,MEHP,1313,-0.06815084997213551,0.027558197009827395,-2.4729792717510715,0.030957268042927377,NA,0.14338103093566365
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMHH,MEHHP,1313,0.09494014592609211,0.034756231176224214,2.731600714839245,0.019522399066966054,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMOH,MEOHP,1313,0.08028774416408599,0.033864376816405924,2.3708614098928233,0.037095372876034996,NA,0.15544727681386095
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXECP,MECPP,1313,0.07669057562685176,0.041949738146703636,1.8281538578060952,0.09474868229444794,NA,0.22534821734895727
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMEP,MEP,1313,0.0092138003062104,0.03798304259335495,0.2425766783575767,0.8127969160205151,NA,0.8515015310691111
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMBP,MnBP,1313,-0.011199237847649243,0.04038746983408189,-0.27729486134331965,0.7866956362193618,NA,0.8442587315524859
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMIB,MiBP,1313,0.08571933721482722,0.03953090367783568,2.168413297945643,0.052923197058000485,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMZP,MBzP,1313,0.08040310587577568,0.04698470293133815,1.7112613437882973,0.11504747548634063,NA,0.2548626608921197
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXCOP,MCOP,1313,0.056717103620911404,0.029933818636774932,1.8947500253519978,0.0846994247608133,NA,0.21295855368433056
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXCNP,MCNP,1313,0.03759978709229109,0.03476255586067342,1.0816174519212323,0.3025644501083013,NA,0.4673260579188388
survey_weighted_standardized_single_monomer,msi_core_partial,ln_URXMNP,MiNP_or_MNP,1313,-0.038331775741026725,0.02622213566107301,-1.461809832596152,0.17176597968421897,NA,0.3216043874938568
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMHP,MEHP,1306,-0.049170489334478,0.025052334010257242,-1.962710912058972,0.07546469587495451,NA,0.19532038932341167
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMHH,MEHHP,1306,0.09192946185746376,0.029986871450235902,3.0656569829241245,0.01074289664369664,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXMOH,MEOHP,1306,0.07425546006602968,0.028870253806221637,2.5720404318034564,0.02595585824492695,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,msi_no_bmi,ln_URXECP,MECPP,1306,0.08806195241858027,0.04045884388445689,2.176581038006652,0.05217524913376265,NA,0.16595817221134723
