gene_symbol,logFC_MEHP_vs_DMSO,AveExpr,t,pvalue,padj,B
CHST15,-0.13249513276110725,4.264804756018414,-0.6283499917707388,0.5618924602408089,0.7463570354020623,-6.981091946165017
ACO2,-0.0602134780111096,6.965399124724467,-0.6281424588686992,0.5620162149840764,0.7463570354020623,-6.981238423604162
BPNT1,-0.062842891826160735,4.441579248879575,-0.6280334173469339,0.5620812452599514,0.7463570354020623,-6.981315369402289
ATP6AP1L,0.22212536851580947,0.3351088554520822,0.6280321363563153,0.5620820092481411,0.7463570354020623,-6.9813162732750795
KIAA1462,0.08591986817111467,7.788206002563785,0.6280022134045514,0.562099855619969,0.7463570354020623,-6.981337386610434
MTCO1P12,0.1570770779997401,0.3747487657580182,0.6279433369227228,0.562134971296532,0.7463570354020623,-6.9813789268304065
CPEB1,-0.24762904320085058,-0.398096588871281,-0.6278447798558988,0.5621937569322588,0.7463570354020623,-6.98144845640064
CITED4,0.07377659283562575,2.73754603687662,0.6277804759480031,0.5622321140450541,0.7463570354020623,-6.981493816334308
GCOM1,0.1251245715288786,3.6092878832221134,0.6275183097625461,0.5623885135995512,0.7464675798334552,-6.981678708289686
CCDC58,0.12497556580366133,3.7883640390320146,0.6274669369353527,0.5624191643135563,0.7464675798334552,-6.981714931320577
UBE3B,0.06526356491345364,5.785892183879017,0.627287698025635,0.5625261128720007,0.7464832644532716,-6.981841293579201
RIOK1,0.07031362078234309,4.233448016642361,0.6272732055250674,0.5625347608743165,0.7464832644532716,-6.981851509388097
PRTFDC1,-0.08973598663304756,3.7012887312677902,-0.6271153344813469,0.5626289718468962,0.7465298974014114,-6.9819627804900355
APP,0.07340212060600054,10.765933422746585,0.6270038087108952,0.5626955322138973,0.7465298974014114,-6.982041372377229
DONSON,-0.09235084650462555,4.696028493408766,-0.626953463206776,0.5627255809412558,0.7465298974014114,-6.982076846906974
RPH3AL,0.3735553164588072,0.22622303513364964,0.6267169098952575,0.5628667822008575,0.7466483659512712,-6.982243495822056
CCDC171,-0.08637176374721033,1.8273754517694418,-0.6264083081325362,0.5630510255458376,0.7468239031442394,-6.982460823498711
MAGOH,-0.07502653198044575,4.983533542808718,-0.626163561546253,0.5631971743105563,0.7469488844502317,-6.982633119025689
ZBTB14,-0.07348413710562045,4.091408367484277,-0.6260605495276149,0.5632586948123615,0.7469616135297412,-6.98270562021156
GEN1,0.09339674947005597,4.347874156553905,0.6256065503761745,0.5635298841568684,0.7471739183951819,-6.9830250326030985
H2AFZ,0.0880187555745087,8.64210970344573,0.6255338705774449,0.5635733063962294,0.7471739183951819,-6.98307614880769
VCPKMT,0.07325488409848482,2.632723490449815,0.6255317062364066,0.5635745995068899,0.7471739183951819,-6.983077670928045
EVA1C,-0.154638536376729,1.915520818118077,-0.6251490474394243,0.5638032545593291,0.7473494068063102,-6.98334671534877
CSPG4P12,-0.10244664002455713,2.576321943587971,-0.625065379667005,0.563853257887211,0.7473494068063102,-6.983405523281952
TGM1,0.26712925279761124,-0.2502799890600672,0.625049388279687,0.5638628153396142,0.7473494068063102,-6.983416762473727
LRRC6,-0.13383122847453557,0.7860917676100145,-0.6249116808869415,0.5639451223543555,0.7473896388935751,-6.983513537170121
TPX2,0.08806481596832261,7.188570439438328,0.6246972693817522,0.5640732909782253,0.7474906378051538,-6.983664180862346
GYPC,0.07867206735855665,6.873036694896098,0.6244144857616534,0.5642423600510114,0.747645812995657,-6.983862796506641
MCM9,0.17334221428051136,3.3324782659136085,0.624311341118858,0.5643040359933877,0.7476586721128087,-6.9839352224758
RBMS1,0.0626703996184687,7.172657739870774,0.6239694492391875,0.5645085043689471,0.7478607002349822,-6.984175220524697
ZC3HC1,-0.08309947010353287,4.562857220773559,-0.6237995525842134,0.5646101293890506,0.7479020218818576,-6.984294442320676
ASAP2,-0.11089162494655412,6.642677190540784,-0.6237434812026034,0.5646436716014775,0.7479020218818576,-6.98433378343662
PIK3R2,0.06182964652413749,4.758531737688559,0.6235314774563637,0.5647705054178579,0.7479170073186331,-6.984482504104436
THAP4,0.08957050166843453,5.7146862788431845,0.6235166694343949,0.5647793652057488,0.7479170073186331,-6.984492890363433
MPZL1,-0.05925522547231623,7.550479767984149,-0.6234216404711479,0.5648362241892986,0.7479170073186331,-6.984559538232726
FBXL16,0.15765930972194697,0.11030092908044041,0.6232871901817266,0.5649166767722373,0.7479170073186331,-6.984653819525308
ZNF382,-0.09482493338037175,2.5595828130074376,-0.6232502720699156,0.5649387692271131,0.7479170073186331,-6.984679704849149
MLH3,0.05720092945651557,3.733801704785792,0.6232032305963158,0.5649669205151944,0.7479170073186331,-6.984712686371933
DPY30,0.06951397818090871,5.1187954308293655,0.6230219090127267,0.5650754385259225,0.7479918346185058,-6.984839794430326
ANKHD1-EIF4EBP3,-0.0767143705344048,4.48642238190805,-0.6226508076689516,0.5652975798791994,0.7481303151390937,-6.985099843848996
CHCHD7,-0.07415258735690737,4.653120445108585,-0.6225537702007374,0.5653556761136017,0.7481303151390937,-6.985167821627775
GPRC5C,0.1770647431105699,1.0100897061594,0.6225320896180617,0.56536865679949,0.7481303151390937,-6.98518300834829
C1orf204,0.23899548976374108,-0.40134669591121386,0.6224996646509167,0.5653880707766041,0.7481303151390937,-6.985205720427168
