gene_id,gene_name,log2FoldChange,pvalue,padj,gene_biotype,gene_description,tf_family
ENSG00000170915,PAQR8,1.65199841936332,5.63898943250043e-32,8.87167735672502e-30,protein_coding,progestin and adipoQ receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15708],-
ENSG00000100316,RPL3,-0.950174665728198,8.98717238341815e-32,1.40152588274042e-29,protein_coding,ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332],-
ENSG00000125378,BMP4,-1.28779310413844,9.15486215174836e-32,1.41526208116332e-29,protein_coding,bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071],-
ENSG00000123146,ADGRE5,-1.18186653296632,1.1390018836511e-31,1.74561857651286e-29,protein_coding,adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711],-
ENSG00000240342,RPS2P5,-1.12601277187084,2.23359740033066e-31,3.39392261393834e-29,processed_pseudogene,ribosomal protein S2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:31386],-
ENSG00000079112,CDH17,1.41622862090953,3.54129825610962e-31,5.33535596585735e-29,protein_coding,cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756],-
ENSG00000243649,CFB,1.63395905563785,4.2704193131686e-31,6.3797911386144e-29,protein_coding,complement factor B [Source:HGNC Symbol;Acc:HGNC:1037],-
ENSG00000167747,C19orf48,-1.29819130415049,6.17234378050134e-31,9.10406870188286e-29,protein_coding,chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667],-
ENSG00000167775,CD320,-2.12770890361626,6.19637930547771e-31,9.10406870188286e-29,protein_coding,CD320 molecule [Source:HGNC Symbol;Acc:HGNC:16692],-
ENSG00000133789,SWAP70,1.42009726910526,8.22174666945223e-31,1.19808370729116e-28,protein_coding,switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070],-
ENSG00000143167,GPA33,5.01428798981513,9.34244487467022e-31,1.35032508115355e-28,protein_coding,glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445],-
