KEGGID,Description,GeneRatio,BgRatio,pvalue,padj,Count,Up,Down,geneName
hsa05321,Inflammatory bowel disease,24/3274,53/9012,0.112899540110586,0.247177973903296,24,9,15,IL18/IL4R/IL1A/IL1B/HLA-DMB/IFNGR1/HLA-DMA/HLA-DOA/TGFB2/TLR4/RORA/STAT3/JUN/TGFB3/STAT6/HLA-DPA1/HLA-DRA/HLA-DPB1/RORC/NOD2/TLR2/HLA-DOB/HLA-DRB5/TNF
hsa04146,Peroxisome,37/3274,87/9012,0.136860331362518,0.280437734202951,37,19,18,EPHX2/ACSL4/IDH2/ABCD3/ACOX1/SOD2/ACSL1/PEX13/PECR/GNPAT/MPV17/BAAT/MPV17L2/HMGCL/ACSL3/XDH/SCP2/PEX19/ECI2/PEX10/SOD1/ECH1/SLC27A2/PEX16/CROT/NOS2/PEX11B/PHYH/MVK/HACL1/PIPOX/CRAT/DHRS4/ACOX3/MPV17L/ACSL5/ABCD4
hsa00561,Glycerolipid metabolism,30/3274,71/9012,0.178817376341375,0.345231235248666,30,11,19,ALDH1B1/GLYCTK/AKR1B1/MBOAT2/AGPAT2/ALDH3A2/DGKA/ALDH7A1/GK/PNPLA2/LPIN2/LIPG/PLPP5/DGKG/DGKH/LPIN3/DGAT2/DGKE/GPAT3/PLPP1/ALDH2/DGAT1/TKFC/ALDH9A1/LCLAT1/AKR1A1/DGKB/AGPAT1/DGKZ/GLA
hsa04911,Insulin secretion,28/3274,69/9012,0.268303990957533,0.461925427731011,28,20,8,ATP1A1/GNAQ/PRKACB/CREB3L3/SLC2A1/ITPR3/ADCY6/CREB3L4/ATF4/ADCY3/TRPM4/CAMK2D/PLCB3/CREB3L2/PRKCA/ADCY4/CCK/STX1A/CREB1/CREB3L1/CREB5/KCNMA1/GNAS/ATP1B1/RAPGEF4/ATP1B3/CACNA1D/KCNJ11
hsa04920,Adipocytokine signaling pathway,28/3274,71/9012,0.333072916432965,0.524746953248163,28,20,8,CPT1A/PCK2/ACSL4/PPARA/PRKAA1/NFKBIA/LEPR/SLC2A1/JAK2/IRS2/ACSL1/TNFRSF1A/PCK1/ADIPOR2/G6PC3/STAT3/PRKAG1/PRKAA2/ACSL3/IRS1/PPARGC1A/PRKAB2/PTPN11/RXRA/PRKAB1/ADIPOR1/TNF/ACSL5
hsa00061,Fatty acid biosynthesis,8/3274,21/9012,0.514916355149042,0.729660748899499,8,5,3,ACSL4/FASN/ACSL1/ACSL3/ACACA/MECR/MCAT/ACSL5
hsa04932,Non-alcoholic fatty liver disease,78/3274,215/9012,0.532296127823721,0.738757177863678,78,37,41,MAP3K5/XBP1/IL1A/NDUFA4L2/INSR/CEBPA/IL1B/PPARA/PRKAA1/RAC1/MAPK13/BCL2L11/MLXIPL/LEPR/IRS2/TNFRSF1A/NDUFV1/FAS/ATF4/PPARG/BID/COX5A/ADIPOR2/MAPK14/NR1H3/CYC1/NDUFA4/SREBF1/PRKAG1/PRKAA2/PIK3CB/UQCRH/CXCL8/GSK3B/IRS1/COX6B2/JUN/ITCH/PRKAB2/IL6R/NDUFB10/ERN1/PIK3CA/DDIT3/NDUFA10/MLXIP/MT-CO2/NDUFS8/MAPK11/RXRA/PRKAB1/NDUFS7/NDUFS6/UQCRFS1/PIK3R3/NDUFV3/BAX/NDUFS3/CBX7/CYCS/NDUFC2/NDUFB9/SDHA/NDUFAB1/SDHAP1/FOS/COX7C/SDHC/UQCRC2/RAC1P2/EIF2S1/ADIPOR1/UQCR11/TNF/AC114491.1/NDUFA9/UQCRB/CASP7
hsa04923,Regulation of lipolysis in adipocytes,19/3274,54/9012,0.619869169638771,0.783652113742624,19,11,8,CIDEC/INSR/PRKACB/GNAI2/PNPLA2/IRS2/NPY1R/ADCY6/ADCY3/PIK3CB/ABHD5/ADCY4/IRS1/AQP7/PIK3CA/PIK3R3/GNAS/GNAI3/ADORA1
hsa00604,Glycosphingolipid biosynthesis - ganglio series,5/3274,16/9012,0.747710295916553,0.89582905062099,5,2,3,ST3GAL5/ST3GAL1/ST6GALNAC3/ST6GALNAC4/ST3GAL2
hsa00565,Ether lipid metabolism,15/3274,52/9012,0.899692283719685,0.999967656274023,15,11,4,PLA2G6/PLA2G3/GAL3ST1/CHPT1/PAFAH1B1/PLPP1/PLD1/PLA2G2F/PLD3/PLA2G4D/SELENOI/PAFAH2/CEPT1/GDPD1/PLA2G4C
hsa00190,Oxidative phosphorylation,51/3274,207/9012,0.999897737595007,0.999967656274023,51,12,39,ATP6V0E2/NDUFA4L2/ATP6V0A4/TCIRG1/PPA1/ATP6V0A1/ATP5MC1/NDUFV1/COX5A/COX11/LHPP/CYC1/NDUFA4/MTND4P20/ATP5F1A/UQCRH/ATP6V1B2/COX6B2/NDUFB10/NDUFA10/ATP5F1D/COX10/MT-CO2/NDUFS8/ATP5F1E/NDUFS7/NDUFS6/UQCRFS1/ATP5F1B/NDUFV3/NDUFS3/CBX7/CYCS/NDUFC2/NDUFB9/SDHA/NDUFAB1/MT-ND3/SDHAP1/ATP6V1E1/COX7C/SDHC/UQCRC2/ATP6V1C1/UQCR11/AC114491.1/MTATP6P1/NDUFA9/UQCRB/ATP5MG/PPA2
