outcome,exposure,R_beta,R_se,t,R_p,R_q,python_beta,python_se,python_p,python_q,python_n,python_n_clusters,beta_delta_R_minus_python,se_delta_R_minus_python,R_ci_low,R_ci_high,R_estimate_CI,R_significant_q05
ln_HOMA_IR,ln_Sigma_DEHP,0.0843590199874938,0.0221062835351532,3.81606523110711,0.002862561023605,0.0100189635826177,0.0843590199874935,0.031978742956696,0.0083403533613297,0.0125105300419945,1292,60,3.0531133177191805e-16,-0.009872459421542797,0.04103070425859353,0.12768733571639407,"0.084 (0.041, 0.128)",True
HbA1c,pct_oxidative_10,0.109640793884053,0.0391188080500346,2.80276417788134,0.0187056366620271,0.030216797684813,0.1096407938841185,0.0400721774394048,0.0062175386687153,0.0100567552193071,2671,60,-6.550315845288424e-14,-0.0009533693893701983,0.032967930105985185,0.18631365766212082,"0.110 (0.033, 0.186)",True
HbA1c,ln_oxidative_to_MEHP,0.134569442578456,0.0285008548471705,4.72159320483737,0.0008144732062088,0.0034207874660773,0.1345694425784864,0.0296235026297033,5.554932059817784e-06,2.3330714651234693e-05,2671,60,-3.042011087472929e-14,-0.0011226477825328,0.07870776707800181,0.19043111807891017,"0.135 (0.079, 0.190)",True
HbA1c,ln_Sigma_DEHP,0.0836234879464905,0.0295795229225715,2.82707358618956,0.0179417219793712,0.030216797684813,0.0836234879465108,0.0282847478930787,0.0031116540186443,0.00594043039923,2671,60,-2.030320356283255e-14,0.0012947750294927986,0.025647623018250354,0.14159935287473063,"0.084 (0.026, 0.142)",True
TyG,pct_oxidative_10,0.108155674001401,0.0588567409219265,1.83760895196133,0.0932583584961901,0.108801418245555,0.1081556740019209,0.0548899587326491,0.0487915038727769,0.0602718577251951,1279,60,-5.19903564644153e-13,0.003966782189277401,-0.007203538205574941,0.22351488620837695,"0.108 (-0.007, 0.224)",False
TyG,ln_oxidative_to_MEHP,0.112533882844712,0.0429438879213465,2.62048659988173,0.0238079520861223,0.0357119281291835,0.1125338828446729,0.0411359799125293,0.0062256103738568,0.0100567552193071,1279,60,3.9093728254613325e-14,0.0018079080088172009,0.028363862518872865,0.19670390317055114,"0.113 (0.028, 0.197)",True
TyG,ln_Sigma_DEHP,-0.0050839125458674,0.0305798462593345,-0.1662504285585,0.870976291098672,0.870976291098672,-0.0050839125458921,0.0365901948392641,0.8894960314177877,0.8894960314177877,1279,60,2.4699860212695768e-14,-0.006010348579929603,-0.06502041121416302,0.054852586122428215,"-0.005 (-0.065, 0.055)",False
ln_TG_HDL,pct_oxidative_10,0.0976734049244616,0.0658981854582699,1.48218656166661,0.166362102243064,0.183873902479175,0.0976734049243752,0.0597611092473121,0.1021754220718308,0.1129307296583394,1279,60,8.638922910364499e-14,0.006137076210957805,-0.03148703857374742,0.22683384842267063,"0.098 (-0.031, 0.227)",False
ln_TG_HDL,ln_oxidative_to_MEHP,0.106888068233374,0.0496961147926676,2.15083349431463,0.0545677782184845,0.0674072554463632,0.106888068233375,0.046648178266017,0.0219422312713511,0.0307191237798915,1279,60,-9.992007221626409e-16,0.0030479365266505992,0.009483683239745508,0.2042924532270025,"0.107 (0.009, 0.204)",False
ln_TG_HDL,ln_Sigma_DEHP,-0.0131540515451668,0.0380864084053753,-0.345373903602585,0.736327453544599,0.773143826221829,-0.0131540515451691,0.0427705951214663,0.7584255717439576,0.7963468503311555,1279,60,2.3002433291452462e-15,-0.004684186716090999,-0.08780341201970239,0.06149530892936879,"-0.013 (-0.088, 0.061)",False
