outcome,exposure,exposure_z_grid,marginal_predicted_outcome
msi_core_partial,pct_oxidative_10,0.020086500747103386,-0.04412823836398484
msi_core_partial,pct_oxidative_10,0.16889858576821393,-0.03092461664975644
msi_core_partial,pct_oxidative_10,0.317710670789324,-0.013194274799526185
msi_core_partial,pct_oxidative_10,0.46652275581043456,0.011102669748739566
msi_core_partial,pct_oxidative_10,0.6153348408315451,0.043830269845612994
msi_core_partial,pct_oxidative_10,0.7641469258526552,0.08432470859750135
msi_core_partial,pct_oxidative_10,0.9129590108737657,0.13002761044544026
msi_core_partial,pct_oxidative_10,1.0617710958948763,0.17833474384140421
msi_core_partial,ln_oxidative_to_MEHP,-1.6536693244253309,-0.13543477277773244
msi_core_partial,ln_oxidative_to_MEHP,-1.4893972871483474,-0.1271449162045535
msi_core_partial,ln_oxidative_to_MEHP,-1.325125249871364,-0.11863001243666525
msi_core_partial,ln_oxidative_to_MEHP,-1.1608532125943807,-0.10966501427935837
msi_core_partial,ln_oxidative_to_MEHP,-0.9965811753173972,-0.10002487453792358
msi_core_partial,ln_oxidative_to_MEHP,-0.8323091380404137,-0.08948454601765149
msi_core_partial,ln_oxidative_to_MEHP,-0.6680371007634304,-0.07781898152383288
msi_core_partial,ln_oxidative_to_MEHP,-0.503765063486447,-0.0648031338617584
msi_core_partial,ln_oxidative_to_MEHP,-0.33949302620946353,-0.050213866352767256
msi_core_partial,ln_oxidative_to_MEHP,-0.17522098893248006,-0.03402134066221507
msi_core_partial,ln_oxidative_to_MEHP,-0.010948951655496586,-0.016552312321794493
msi_core_partial,ln_oxidative_to_MEHP,0.15332308562148667,0.0018280026651595295
msi_core_partial,ln_oxidative_to_MEHP,0.31759512289847014,0.02075438829531201
msi_core_partial,ln_oxidative_to_MEHP,0.4818671601754536,0.03987214267340666
msi_core_partial,ln_oxidative_to_MEHP,0.6461391974524369,0.05901318186626663
msi_core_partial,ln_oxidative_to_MEHP,0.8104112347294206,0.07816971326030553
msi_core_partial,ln_oxidative_to_MEHP,0.9746832720064038,0.09733915482199346
msi_core_partial,ln_oxidative_to_MEHP,1.138955309283387,0.11651892451780062
msi_core_partial,ln_oxidative_to_MEHP,1.3032273465603708,0.13570644031419737
msi_core_partial,ln_oxidative_to_MEHP,1.467499383837354,0.15489912017765367
msi_core_partial,ln_oxidative_to_MEHP,1.6317714211143377,0.1740943820746398
msi_no_bmi,ln_Sigma_DEHP,-1.6699278006270852,-0.1901229742638773
msi_no_bmi,ln_Sigma_DEHP,-1.5040656520222198,-0.16940374906640981
msi_no_bmi,ln_Sigma_DEHP,-1.338203503417354,-0.14868443797678818
msi_no_bmi,ln_Sigma_DEHP,-1.1723413548124886,-0.12796495510285844
msi_no_bmi,ln_Sigma_DEHP,-1.006479206207623,-0.10724521455246641
msi_no_bmi,ln_Sigma_DEHP,-0.8406170576027576,-0.08652513043345815
msi_no_bmi,ln_Sigma_DEHP,-0.674754908997892,-0.06580461685367943
msi_no_bmi,ln_Sigma_DEHP,-0.5088927603930264,-0.04508358792097627
msi_no_bmi,ln_Sigma_DEHP,-0.34303061178816097,-0.02436509294054139
msi_no_bmi,ln_Sigma_DEHP,-0.1771684631832955,-0.0038403217155961087
msi_no_bmi,ln_Sigma_DEHP,-0.01130631457843001,0.016007901699600216
msi_no_bmi,ln_Sigma_DEHP,0.1545558340264357,0.034671664507368374
msi_no_bmi,ln_Sigma_DEHP,0.32041798263130117,0.05164305391002878
msi_no_bmi,ln_Sigma_DEHP,0.48628013123616687,0.06643863529935219
msi_no_bmi,ln_Sigma_DEHP,0.6521422798410323,0.07900298009089075
msi_no_bmi,ln_Sigma_DEHP,0.8180044284458978,0.08964487924102128
msi_no_bmi,ln_Sigma_DEHP,0.9838665770507633,0.09868474035664511
msi_no_bmi,ln_Sigma_DEHP,1.1497287256556288,0.10644297104466363
msi_no_bmi,ln_Sigma_DEHP,1.3155908742604943,0.11323997891197803
msi_no_bmi,ln_Sigma_DEHP,1.4814530228653597,0.11939617156548979
msi_no_bmi,ln_Sigma_DEHP,1.6473151714702257,0.12523195661210018
msi_no_bmi,pct_oxidative_10,-1.9260581028327304,-0.13191455902190263
