ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Diethylhexyl Phthalate,D004051,117-81-7,KLK7,5650,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLK7 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLRG1,10219,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLRG1 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KNDC1,85442,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KNDC1 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KNOP1,400506,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KNOP1 protein,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRAS,3845,protein,Homo sapiens,9606,KRAS protein affects the reaction [Diethylhexyl Phthalate results in increased phosphorylation of AKT1 protein],affects^reaction|increases^phosphorylation,28065941
Diethylhexyl Phthalate,D004051,117-81-7,KRAS,3845,protein,Homo sapiens,9606,KRAS protein affects the reaction [Diethylhexyl Phthalate results in increased phosphorylation of MAPK1 protein],affects^reaction|increases^phosphorylation,28065941
Diethylhexyl Phthalate,D004051,117-81-7,KRAS,3845,protein,Homo sapiens,9606,KRAS protein affects the reaction [Diethylhexyl Phthalate results in increased phosphorylation of MAPK3 protein],affects^reaction|increases^phosphorylation,28065941
Diethylhexyl Phthalate,D004051,117-81-7,KRIT1,889,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KRIT1 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT17,3872,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRT17 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT18,3875,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRT18 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT19,3880,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRT19 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT23,25984,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRT23 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT31,3881,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KRT31 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT33B,3884,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KRT33B mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT35,3886,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KRT35 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT8,3856,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRT8 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRT83,3889,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRT83 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRTAP13-1,140258,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KRTAP13-1 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KRTCAP3,200634,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KRTCAP3 mRNA,increases^expression,28412506
Diethylhexyl Phthalate,D004051,117-81-7,KRTDAP,388533,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KRTDAP mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KSR2,283455,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KSR2 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,L1CAM,3897,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of L1CAM mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,L3MBTL4,91133,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of L3MBTL4 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LAG3,3902,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LAG3 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LAMC2,3918,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LAMC2 protein,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LAMC2,3918,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LAMC2 mRNA,increases^expression,31163220
