GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
RXRA,6256,2,2,1,affects^binding,hsa03320,PPAR signaling pathway
RXRB,6257,2,2,1,affects^binding,hsa03320,PPAR signaling pathway
RXRG,6258,2,2,2,affects^binding; decreases^expression,hsa03320,PPAR signaling pathway
SERPINE1,5054,2,2,2,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
SGK1,6446,2,2,2,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
SGK1,6446,2,2,2,decreases^expression; increases^expression,hsa04068,FoxO signaling pathway
TBC1D1,23216,2,2,1,increases^abundance|increases^methylation,hsa04152,AMPK signaling pathway
TNR,7143,2,2,1,decreases^methylation|increases^abundance,hsa04151,PI3K-Akt signaling pathway
TRIB3,57761,2,2,2,increases^expression,hsa04931,Insulin resistance
FOXO3,2309,7,1,1,affects^localization|decreases^phosphorylation|increases^expression; increases^expression; increases^expression|increases^reaction,hsa04151,PI3K-Akt signaling pathway
FOXO3,2309,7,1,1,affects^localization|decreases^phosphorylation|increases^expression; increases^expression; increases^expression|increases^reaction,hsa04152,AMPK signaling pathway
FOXO3,2309,7,1,1,affects^localization|decreases^phosphorylation|increases^expression; increases^expression; increases^expression|increases^reaction,hsa04068,FoxO signaling pathway
RPS6KB1,6198,5,1,2,decreases^expression; decreases^reaction|increases^expression; increases^expression,hsa04910,Insulin signaling pathway
RPS6KB1,6198,5,1,2,decreases^expression; decreases^reaction|increases^expression; increases^expression,hsa04931,Insulin resistance
RPS6KB1,6198,5,1,2,decreases^expression; decreases^reaction|increases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
RPS6KB1,6198,5,1,2,decreases^expression; decreases^reaction|increases^expression; increases^expression,hsa04152,AMPK signaling pathway
CCNE1,898,4,1,2,affects^reaction|increases^expression; decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
COX4I1,1327,4,1,1,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction,hsa00190,Oxidative phosphorylation
IRF1,3659,4,1,1,increases^expression; increases^expression|increases^reaction,hsa04668,TNF signaling pathway
IRS1,3667,4,1,1,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction,hsa04910,Insulin signaling pathway
IRS1,3667,4,1,1,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction,hsa04931,Insulin resistance
IRS1,3667,4,1,1,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction,hsa04151,PI3K-Akt signaling pathway
IRS1,3667,4,1,1,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction,hsa04152,AMPK signaling pathway
IRS1,3667,4,1,1,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction,hsa04068,FoxO signaling pathway
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04910,Insulin signaling pathway
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04931,Insulin resistance
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04151,PI3K-Akt signaling pathway
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04152,AMPK signaling pathway
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04068,FoxO signaling pathway
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04668,TNF signaling pathway
PIK3R1,5295,4,1,2,decreases^phosphorylation; decreases^phosphorylation|increases^reaction; increases^expression; increases^expression|increases^reaction,hsa04933,AGE-RAGE signaling pathway in diabetic complications
TNFAIP3,7128,4,1,2,affects^reaction|decreases^reaction|increases^expression; decreases^reaction|increases^expression; increases^expression,hsa04668,TNF signaling pathway
ACACA,31,3,1,2,affects^expression; decreases^expression,hsa04910,Insulin signaling pathway
ACACA,31,3,1,2,affects^expression; decreases^expression,hsa04152,AMPK signaling pathway
CSF1R,1436,3,1,2,affects^cotreatment|decreases^expression; decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
FASN,2194,3,1,3,affects^expression; increases^expression,hsa04910,Insulin signaling pathway
FASN,2194,3,1,3,affects^expression; increases^expression,hsa04152,AMPK signaling pathway
KRAS,3845,3,1,1,affects^reaction|increases^phosphorylation,hsa04910,Insulin signaling pathway
KRAS,3845,3,1,1,affects^reaction|increases^phosphorylation,hsa04151,PI3K-Akt signaling pathway
KRAS,3845,3,1,1,affects^reaction|increases^phosphorylation,hsa04068,FoxO signaling pathway
KRAS,3845,3,1,1,affects^reaction|increases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
SCD,6319,3,1,3,affects^expression; increases^expression,hsa04152,AMPK signaling pathway
SCD,6319,3,1,3,affects^expression; increases^expression,hsa03320,PPAR signaling pathway
ACSL1,2180,2,1,1,decreases^expression; increases^expression,hsa03320,PPAR signaling pathway
ATM,472,2,1,1,decreases^reaction|increases^expression; decreases^reaction|increases^expression|increases^reaction,hsa04068,FoxO signaling pathway
CXCL3,2921,2,1,1,affects^cotreatment|increases^expression; increases^expression,hsa04668,TNF signaling pathway
CXCL5,6374,2,1,1,decreases^reaction|increases^expression; increases^expression,hsa04668,TNF signaling pathway
GCK,2645,2,1,2,affects^expression; decreases^expression,hsa04910,Insulin signaling pathway
HOMER2,9455,2,1,2,decreases^expression; increases^expression,hsa04068,FoxO signaling pathway
IL4,3565,2,1,1,decreases^reaction|increases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
ITGB6,3694,2,1,1,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
MAP2K1,5604,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04910,Insulin signaling pathway
MAP2K1,5604,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04151,PI3K-Akt signaling pathway
MAP2K1,5604,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04068,FoxO signaling pathway
MAP2K1,5604,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04668,TNF signaling pathway
MAP2K2,5605,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04910,Insulin signaling pathway
MAP2K2,5605,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04151,PI3K-Akt signaling pathway
MAP2K2,5605,2,1,1,decreases^phosphorylation; decreases^phosphorylation|decreases^reaction,hsa04068,FoxO signaling pathway
NR1H3,10062,2,1,3,affects^binding|increases^activity|increases^reaction; increases^expression,hsa04931,Insulin resistance
NR1H3,10062,2,1,3,affects^binding|increases^activity|increases^reaction; increases^expression,hsa03320,PPAR signaling pathway
NR4A1,3164,2,1,2,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
PPP2CA,5515,2,1,1,decreases^expression|increases^activity; decreases^reaction|increases^activity,hsa04151,PI3K-Akt signaling pathway
