GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
PLIN4,729359,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
PLIN5,440503,1,1,1,decreases^expression,hsa03320,PPAR signaling pathway
PLK2,10769,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
PPP1CB,5500,1,1,1,increases^expression,hsa04910,Insulin signaling pathway
PPP1CB,5500,1,1,1,increases^expression,hsa04931,Insulin resistance
PPP1R3C,5507,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
PPP1R3C,5507,1,1,1,decreases^expression,hsa04931,Insulin resistance
PPP2R2B,5521,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
PPP2R2B,5521,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
PPP2R2D,55844,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
PPP2R2D,55844,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
PRKAG2,51422,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
PRKAG2,51422,1,1,1,decreases^expression,hsa04931,Insulin resistance
PRKAG2,51422,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
PRKAG2,51422,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
PRKAR2B,5577,1,1,1,increases^expression,hsa04910,Insulin signaling pathway
PRKCA,5578,1,1,1,affects^reaction|decreases^reaction|increases^expression,hsa04151,PI3K-Akt signaling pathway
PRKCA,5578,1,1,1,affects^reaction|decreases^reaction|increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
PRKCB,5579,1,1,1,affects^reaction|decreases^reaction|increases^expression,hsa04931,Insulin resistance
PRKCB,5579,1,1,1,affects^reaction|decreases^reaction|increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
PRKCD,5580,1,1,1,affects^reaction|decreases^reaction|increases^expression,hsa04931,Insulin resistance
PRKCD,5580,1,1,1,affects^reaction|decreases^reaction|increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
PRLR,5618,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
PYGL,5836,1,1,1,increases^expression,hsa04910,Insulin signaling pathway
PYGL,5836,1,1,1,increases^expression,hsa04931,Insulin resistance
PYGM,5837,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
PYGM,5837,1,1,1,decreases^expression,hsa04931,Insulin resistance
RAB11B,9230,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
RAB2A,5862,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
RET,5979,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
RHBDF2,79651,1,1,1,increases^expression,hsa04668,TNF signaling pathway
RPS6KA4,8986,1,1,1,increases^expression,hsa04668,TNF signaling pathway
S1PR1,1901,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
SCD5,79966,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
SCD5,79966,1,1,1,decreases^expression,hsa03320,PPAR signaling pathway
SGK2,10110,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
SGK2,10110,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
SLC27A3,11000,1,1,1,increases^expression,hsa04931,Insulin resistance
SPP1,6696,1,1,2,increases^expression,hsa04151,PI3K-Akt signaling pathway
TGFB1,7040,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
TGFB1,7040,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
TGFB2,7042,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
TGFB2,7042,1,1,1,decreases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
TGFBR2,7048,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
TGFBR2,7048,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
THBS1,7057,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
THBS4,7060,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
TPTEP2-CSNK1E,102800317,1,1,1,affects^cotreatment|affects^expression,hsa04068,FoxO signaling pathway
TRADD,8717,1,1,1,increases^expression,hsa04668,TNF signaling pathway
TRAF1,7185,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
UCP1,7350,1,1,1,decreases^expression,hsa03320,PPAR signaling pathway
VEGFD,2277,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
VEGFD,2277,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
VEGFD,2277,1,1,1,decreases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
VTN,7448,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
YWHAE,7531,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
