exposure,model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_6,-0.6729021705869656,0.047789415590487994,-14.080569144287674,5.000543461275969e-45,-0.766569425144322,-0.5792349160296091,5229,90,0.07812956096930623,4.475486397841992e-43
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_7,-0.06770731686771533,0.10809416684803844,-0.6263734560524439,0.5310700158310739,-0.27957188388987064,0.14415725015444,5229,90,0.07812956096930623,0.6042046578417091
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_2,0.10140666103263524,0.07331854274799267,1.3830970615603455,0.166635106569905,-0.04229768275343038,0.24511100481870085,5229,90,0.07812956096930623,0.24642908861405305
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_3,0.19791794713622005,0.05803378200272556,3.410392021786979,0.0006486956476038987,0.08417173441087794,0.31166415986156215,5229,90,0.07812956096930623,0.0019905689300759636
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_4,0.26717305988240403,0.05914829418584905,4.517003635691052,6.2720828968894145e-06,0.1512424032781399,0.3831037164866682,5229,90,0.07812956096930623,3.207722395837729e-05
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_5,0.049082027558013844,0.06527437927408221,0.75193403757885,0.45209072765415226,-0.07885575581918729,0.17701981093521496,5229,90,0.07812956096930623,0.540696482740044
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_7,-0.24427956698765876,0.08314923370689703,-2.937845078028619,0.0033050213270762654,-0.4072520650531769,-0.0813070689221406,5229,90,0.07812956096930623,0.008141268131375938
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_9,-0.799157031163772,0.09542773357599225,-8.374473554141122,5.547127672104287e-17,-0.9861953889727169,-0.6121186733548272,5229,90,0.07812956096930623,1.1915230239680009e-15
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,cycle_2015-2016,-0.028873738071687666,0.04909180425796648,-0.588158013503896,0.556426236461018,-0.12509367441730196,0.06734619827392663,5229,90,0.07812956096930623,0.6224213852670819
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,cycle_2017-2018,0.06249581684930802,0.05580205394977782,1.119955493135694,0.26273272863737734,-0.04687620889225651,0.17186784259087257,5229,90,0.07812956096930623,0.3544911439152553
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,Intercept,0.2034034988320178,0.06980132130275116,2.9140350789319633,0.0035678981243085412,0.06659290907862553,0.3402140885854101,5229,90,0.08372204254808424,0.008708914967062211
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,ln_oxidative_to_MEHP_z,0.12546805660150076,0.02154366294147464,5.823896193620667,5.749129356494862e-09,0.08324247723621048,0.16769363596679104,5229,90,0.08372204254808424,4.815829626606843e-08
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDAGEYR,0.09392473206177124,0.020020117746818594,4.6915174650607065,2.711861170326583e-06,0.0546853012780068,0.13316416284553567,5229,90,0.08372204254808424,1.4562694484653752e-05
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,INDFMPIR,0.032500562197418696,0.021373287809654883,1.5206159429873642,0.12835624358803233,-0.00939108190950487,0.07439220630434226,5229,90,0.08372204254808424,0.20213285280578697
