GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions
CCND1,595,4,2,4,decreases^expression; increases^expression
CDH2,1000,4,2,2,increases^expression; increases^expression|increases^reaction
CYP1B1,1545,4,2,3,increases^activity|increases^expression; increases^expression
DIO3,1735,4,2,3,affects^expression; decreases^expression; decreases^expression|decreases^methylation; increases^expression
LDHA,3939,4,2,2,decreases^expression; decreases^reaction|increases^secretion; increases^expression; increases^secretion
LMF1,64788,4,2,1,decreases^methylation|increases^abundance; increases^abundance|increases^methylation
LPP,4026,4,2,1,decreases^methylation|increases^abundance
MAP2K6,5608,4,2,3,decreases^expression; increases^abundance|increases^methylation
PARP1,142,4,2,2,decreases^reaction|increases^cleavage; increases^cleavage; increases^expression
PTX3,5806,4,2,4,affects^cotreatment|affects^reaction|increases^expression; decreases^expression; increases^expression
SFXN3,81855,4,2,2,decreases^expression; increases^abundance|increases^methylation; increases^expression
SLC2A1,6513,4,2,3,decreases^expression; increases^expression
SLC2A4,6517,4,2,3,decreases^expression; decreases^expression|decreases^reaction
SLC7A11,23657,4,2,4,decreases^expression; decreases^expression|increases^reaction; increases^expression
TG,7038,4,2,3,decreases^expression; decreases^expression|decreases^reaction; decreases^secretion; increases^abundance|increases^expression
WNK2,65268,4,2,2,decreases^expression; increases^abundance|increases^methylation; increases^expression
ABTB2,25841,3,2,2,increases^abundance|increases^methylation; increases^expression
ACADM,34,3,2,3,affects^response to substance|increases^expression; decreases^expression; increases^expression
ADAMTS9,56999,3,2,2,increases^abundance|increases^methylation; increases^expression
AKR1C3,8644,3,2,2,affects^cotreatment|decreases^expression|decreases^reaction; increases^expression
AMDHD1,144193,3,2,2,decreases^expression; decreases^methylation|increases^abundance
ANGPTL4,51129,3,2,4,decreases^expression; increases^expression; increases^expression|increases^methylation
ARHGAP24,83478,3,2,2,decreases^expression; increases^abundance|increases^methylation
ASPRV1,151516,3,2,2,decreases^expression; decreases^methylation|increases^abundance
C6ORF118,168090,3,2,2,decreases^expression; increases^abundance|increases^methylation
CACNA1D,776,3,2,2,decreases^expression; increases^abundance|increases^methylation
CASP7,840,3,2,3,increases^activity; increases^expression
CASP9,842,3,2,4,increases^activity; increases^expression
CDH23,64072,3,2,2,decreases^expression; increases^abundance|increases^methylation
CHEK2,11200,3,2,2,decreases^reaction|increases^expression; decreases^reaction|increases^phosphorylation; increases^phosphorylation
CLIC5,53405,3,2,2,increases^abundance|increases^methylation; increases^expression
COL5A1,1289,3,2,2,decreases^expression; increases^expression
CYP11A1,1583,3,2,4,affects^cotreatment|affects^reaction|increases^expression; increases^expression
CYP2B6,1555,3,2,2,decreases^expression; increases^expression
DDIT3,1649,3,2,3,affects^expression; decreases^expression; increases^expression
DIO2,1734,3,2,2,decreases^expression
DLL4,54567,3,2,1,increases^abundance|increases^expression; increases^expression
DUSP10,11221,3,2,2,decreases^methylation|increases^abundance; increases^expression
DUSP4,1846,3,2,2,increases^abundance|increases^methylation; increases^expression
ELFN2,114794,3,2,2,decreases^expression; decreases^methylation|increases^abundance
ERN1,2081,3,2,2,increases^expression
FCGRT,2217,3,2,2,decreases^expression; increases^abundance|increases^methylation
GJA1,2697,3,2,3,affects^expression; decreases^expression; increases^expression
HLA-DQB2,3120,3,2,2,increases^abundance|increases^methylation; increases^expression
HSD3B1,3283,3,2,2,decreases^expression; increases^expression
HSPA13,6782,3,2,2,decreases^expression; decreases^methylation|increases^abundance
IGFBP3,3486,3,2,3,decreases^expression; decreases^expression|increases^methylation; increases^expression
IGFBP7,3490,3,2,2,decreases^expression; increases^expression
IKBIP,121457,3,2,2,decreases^expression; increases^expression
ITGA2,3673,3,2,2,decreases^expression; increases^expression
LAMC2,3918,3,2,2,decreases^expression; increases^expression
LBP,3929,3,2,2,decreases^reaction|increases^expression; increases^abundance|increases^secretion; increases^expression
MDM2,4193,3,2,2,decreases^expression; decreases^phosphorylation; increases^expression
NCALD,83988,3,2,2,decreases^expression; increases^abundance|increases^methylation
NCOA1,8648,3,2,2,affects^binding|increases^activity|increases^reaction; affects^binding|increases^expression|increases^reaction
NKX2-1,7080,3,2,1,increases^abundance|increases^expression
NR4A2,4929,3,2,2,increases^abundance|increases^methylation; increases^expression
NSG1,27065,3,2,2,decreases^expression; decreases^methylation|increases^abundance
OSBP2,23762,3,2,2,decreases^expression; increases^abundance|increases^methylation
PCK1,5105,3,2,2,increases^expression
PCK2,5106,3,2,3,increases^expression
PLA2G12A,81579,3,2,2,decreases^expression; increases^abundance|increases^methylation
PPARGC1A,10891,3,2,2,affects^binding|increases^reaction; decreases^expression
PROK2,60675,3,2,2,decreases^expression; increases^abundance|increases^methylation
PTGFR,5737,3,2,2,affects^cotreatment|affects^expression|affects^reaction; decreases^expression
QTMAN,79712,3,2,2,increases^abundance|increases^methylation; increases^expression
S100A6,6277,3,2,2,increases^abundance|increases^methylation; increases^expression
SAMD5,389432,3,2,2,decreases^expression; increases^abundance|increases^methylation
SLC43A2,124935,3,2,2,increases^abundance|increases^methylation; increases^expression
SOD1,6647,3,2,3,affects^cotreatment|increases^expression; decreases^reaction|increases^expression; decreases^secretion|increases^reaction
SOX1,6656,3,2,2,decreases^expression; increases^abundance|increases^methylation
SPRY4,81848,3,2,3,decreases^expression; increases^expression
SRGAP3,9901,3,2,2,decreases^expression; increases^abundance|increases^methylation
TBC1D30,23329,3,2,2,decreases^expression; increases^abundance|increases^methylation
TFG,10342,3,2,2,decreases^expression; decreases^methylation|increases^abundance
TGM2,7052,3,2,2,decreases^expression; increases^expression
TIAF1,100316851,3,2,2,decreases^methylation|increases^abundance; increases^expression
TLR4,7099,3,2,3,affects^reaction|decreases^reaction|increases^expression; decreases^expression; increases^expression
TLX1,3195,3,2,2,decreases^expression; decreases^methylation|increases^abundance
UBIAD1,29914,3,2,2,decreases^expression; increases^abundance|increases^methylation
VAMP2,6844,3,2,2,decreases^expression; decreases^methylation|increases^abundance
VIM,7431,3,2,4,increases^expression; increases^expression|increases^reaction
ACACB,32,2,2,2,decreases^expression; increases^expression
ACAD9,28976,2,2,1,increases^abundance|increases^methylation
ADAM33,80332,2,2,1,increases^abundance|increases^expression|increases^methylation
ADGRD1,283383,2,2,2,decreases^expression; increases^expression
ADGRL1,22859,2,2,1,decreases^methylation|increases^abundance
ADI1,55256,2,2,1,increases^abundance|increases^methylation
ADSL,158,2,2,1,increases^abundance|increases^methylation
AGAP2,116986,2,2,1,decreases^methylation|increases^abundance
AGPAT1,10554,2,2,1,decreases^methylation|increases^abundance
AGTPBP1,23287,2,2,1,decreases^methylation|increases^abundance
AK5,26289,2,2,2,decreases^expression; increases^expression
AKAP8,10270,2,2,1,decreases^methylation|increases^abundance
AKR1C2,1646,2,2,2,increases^expression
ALPK1,80216,2,2,1,decreases^methylation|increases^abundance
ALX4,60529,2,2,1,increases^abundance|increases^methylation
AMPH,273,2,2,2,decreases^expression; increases^expression
ANAPC15,25906,2,2,1,decreases^methylation|increases^abundance
ANKRD1,27063,2,2,2,decreases^expression; increases^expression
AOX1,316,2,2,2,decreases^expression; increases^expression
APOL6,80830,2,2,2,decreases^expression; increases^expression
ARHGAP39,80728,2,2,1,increases^abundance|increases^methylation
ARHGEF6,9459,2,2,2,decreases^expression; increases^expression
ARID5A,10865,2,2,1,decreases^methylation|increases^abundance
ARMC7,79637,2,2,1,increases^abundance|increases^methylation
ARNT2,9915,2,2,1,increases^abundance|increases^methylation
ARRDC3-AS1,100129716,2,2,1,increases^abundance|increases^methylation
ASS1,445,2,2,2,increases^expression
ASTN1,460,2,2,2,decreases^expression
ATG16L1,55054,2,2,1,decreases^methylation|increases^abundance
ATP11A,23250,2,2,1,increases^abundance|increases^methylation
ATP5G2,100858216,2,2,1,increases^abundance|increases^methylation
ATP6,4508,2,2,2,decreases^expression
ATP6V1G1,9550,2,2,1,decreases^methylation|increases^abundance
AXL,558,2,2,2,increases^expression
B4GALT1,2683,2,2,2,increases^expression
BCL2L14,79370,2,2,1,decreases^methylation|increases^abundance
BUD31,8896,2,2,1,decreases^methylation|increases^abundance
C2ORF42,54980,2,2,1,decreases^methylation|increases^abundance
C6ORF47,57827,2,2,1,decreases^methylation|increases^abundance
CACNA1C,775,2,2,1,increases^abundance|increases^methylation
CAPN13,92291,2,2,1,increases^abundance|increases^methylation
CCL2,6347,2,2,2,decreases^expression; increases^secretion
CCNA1,8900,2,2,2,decreases^expression
CD70,970,2,2,1,increases^abundance|increases^methylation
CD9,928,2,2,2,decreases^expression; increases^expression
CDKN2A,1029,2,2,2,affects^cotreatment|decreases^expression; increases^expression
CEBPA,1050,2,2,2,increases^expression
CEBPB,1051,2,2,2,increases^expression
CECR1,418160,2,2,1,increases^abundance|increases^methylation
CHST9,83539,2,2,2,decreases^expression
CKAP5,9793,2,2,1,decreases^methylation|increases^abundance
CKS1B,1163,2,2,2,decreases^expression; increases^expression
CLCN7,1186,2,2,1,increases^abundance|increases^methylation
CLDN1,9076,2,2,2,decreases^expression; increases^expression
CLDN6,9074,2,2,2,increases^expression
CLIC1,1192,2,2,1,decreases^methylation|increases^abundance
CNPY1,285888,2,2,1,increases^abundance|increases^methylation
COG2,22796,2,2,1,increases^abundance|increases^methylation
COL13A1,1305,2,2,2,decreases^expression; increases^expression
COLGALT2,23127,2,2,2,decreases^expression
CRISPLD2,83716,2,2,2,decreases^expression; increases^expression
CSNK1G3,1456,2,2,1,increases^abundance|increases^methylation
CTBP1,1487,2,2,1,increases^abundance|increases^methylation
CTHRC1,115908,2,2,3,decreases^expression; increases^expression
DAB2IP,153090,2,2,1,increases^abundance|increases^methylation
DACT2,168002,2,2,1,increases^abundance|increases^methylation
DAXX,1616,2,2,1,increases^abundance|increases^methylation
DBN1,1627,2,2,1,decreases^methylation|increases^abundance
DDIT4,54541,2,2,2,increases^expression
DDRGK1,65992,2,2,1,decreases^methylation|increases^abundance
DORIP1,122525,2,2,1,increases^abundance|increases^methylation
DPYSL2,1808,2,2,1,increases^abundance|increases^methylation
DRG1,4733,2,2,1,decreases^methylation|increases^abundance
DSE,29940,2,2,1,increases^abundance|increases^methylation
DUSP5,1847,2,2,2,increases^expression
E2F7,144455,2,2,1,increases^abundance|increases^methylation
EFNA3,1944,2,2,1,increases^abundance|increases^methylation
EGFLAM,133584,2,2,1,increases^abundance|increases^methylation
EIF4A1,1973,2,2,1,decreases^methylation|increases^abundance
EMC6,83460,2,2,1,decreases^methylation|increases^abundance
ENO1,2023,2,2,1,decreases^methylation|increases^abundance
EPHB6,2051,2,2,1,decreases^methylation|increases^abundance
EPHX3,79852,2,2,1,decreases^methylation|increases^abundance
EPPK1,83481,2,2,2,decreases^expression; increases^expression
EPRS,421348,2,2,1,increases^abundance|increases^methylation
ERICH1,157697,2,2,1,decreases^methylation|increases^abundance
ESM1,11082,2,2,2,increases^abundance|increases^methylation; increases^expression
ETV4,2118,2,2,2,increases^expression
EWSR1,2130,2,2,1,decreases^methylation|increases^abundance
EXT2,2132,2,2,1,decreases^methylation|increases^abundance
FABP4,2167,2,2,2,affects^cotreatment|increases^expression|increases^reaction; increases^expression
FABP5,2171,2,2,2,increases^expression
FBXO32,114907,2,2,1,increases^abundance|increases^methylation
FCHO1,23149,2,2,1,increases^abundance|increases^methylation
FEM1A,55527,2,2,1,decreases^methylation|increases^abundance
FEN1,2237,2,2,1,increases^expression
FGF9,2254,2,2,1,increases^abundance|increases^methylation
FGFR1,2260,2,2,2,decreases^expression; increases^expression
FILIP1,27145,2,2,2,decreases^expression
FOXA1,3169,2,2,1,increases^abundance|increases^methylation
FOXP4,116113,2,2,1,decreases^methylation|increases^abundance
FSHR,2492,2,2,2,decreases^expression
FSTL4,23105,2,2,1,decreases^methylation|increases^abundance
FTCDNL1,348751,2,2,1,increases^abundance|increases^methylation
FUT9,10690,2,2,1,decreases^methylation|increases^abundance
G0S2,50486,2,2,2,increases^expression
G6PC1,2538,2,2,2,decreases^expression; increases^expression
GAL3ST2,64090,2,2,1,increases^abundance|increases^methylation
GATA2,2624,2,2,1,decreases^methylation|increases^abundance
GDF15,9518,2,2,2,increases^expression
GGA2,23062,2,2,1,decreases^methylation|increases^abundance
GLRB,2743,2,2,1,decreases^methylation|increases^abundance
GLRX3,10539,2,2,1,increases^abundance|increases^methylation
GPR85,54329,2,2,1,decreases^methylation|increases^abundance
GPRC5A,9052,2,2,2,decreases^expression; increases^expression
HABP2,3026,2,2,1,increases^abundance|increases^methylation
HAS2,3037,2,2,2,decreases^expression; increases^expression
HBM,3042,2,2,1,decreases^methylation|increases^abundance
HEBP1,50865,2,2,1,increases^abundance|increases^methylation
HIVEP3,59269,2,2,1,decreases^methylation|increases^abundance
HLA-B,3106,2,2,1,increases^abundance|increases^methylation
HLA-C,3107,2,2,1,increases^abundance|increases^methylation
HOTAIR,100124700,2,2,1,increases^abundance|increases^methylation
HOXA2,3199,2,2,2,decreases^expression
HOXC5,3222,2,2,2,decreases^expression; increases^expression
HS3ST4,9951,2,2,1,increases^abundance|increases^methylation
HSD3B7,80270,2,2,1,decreases^methylation|increases^abundance
ICAM1,3383,2,2,2,decreases^expression; increases^expression
ID1,3397,2,2,2,decreases^expression; increases^expression
IFFO1,25900,2,2,1,increases^abundance|increases^methylation
IFNA2,3440,2,2,1,increases^abundance|increases^methylation
IGSF9B,22997,2,2,1,increases^abundance|increases^methylation
IL1F10,84639,2,2,1,increases^abundance|increases^methylation
IL1R1,3554,2,2,2,decreases^expression; increases^expression
INHBA-AS1,285954,2,2,1,increases^abundance|increases^methylation
INPP5A,3632,2,2,1,increases^abundance|increases^methylation
IPO8,10526,2,2,1,increases^abundance|increases^methylation
IQSEC3,440073,2,2,1,increases^abundance|increases^methylation
IRX3,79191,2,2,1,increases^abundance|increases^methylation
ISOC1,51015,2,2,2,decreases^expression; increases^expression
ISY1,57461,2,2,1,decreases^methylation|increases^abundance
ITPR2,3709,2,2,1,increases^abundance|increases^methylation
JAGN1,84522,2,2,1,increases^abundance|increases^methylation
JPH3,57338,2,2,1,increases^abundance|increases^methylation
KCNB1,3745,2,2,2,decreases^expression
KCNB2,9312,2,2,1,decreases^methylation|increases^abundance
KIF25,3834,2,2,1,increases^abundance|increases^methylation
KIRREL,100329090,2,2,1,decreases^methylation|increases^abundance
KLHDC8A,55220,2,2,2,decreases^expression
KLHL3,26249,2,2,2,decreases^expression
KLK3,354,2,2,2,affects^cotreatment|increases^expression; decreases^expression
LBH,81606,2,2,2,decreases^expression; increases^expression
LBX1-AS1,399806,2,2,1,increases^abundance|increases^methylation
LCP1,3936,2,2,2,increases^expression
LEFTY1,10637,2,2,1,increases^abundance|increases^methylation
LFNG,3955,2,2,2,decreases^expression
LIG1,3978,2,2,1,increases^expression
LINC01091,285419,2,2,1,increases^abundance|increases^methylation
LINC01235,401492,2,2,1,increases^abundance|increases^methylation
LMTK2,22853,2,2,1,decreases^methylation|increases^abundance
LPHN2,102850997,2,2,1,increases^abundance|increases^methylation
LPL,4023,2,2,2,increases^expression
MAP3K3,4215,2,2,1,increases^abundance|increases^methylation
MAPK8,5599,2,2,3,affects^phosphorylation; increases^phosphorylation
MDGA1,266727,2,2,2,decreases^expression
MEG3,55384,2,2,1,increases^methylation
METTL15,196074,2,2,1,increases^abundance|increases^methylation
MGEA5,423851,2,2,1,decreases^methylation|increases^abundance
MGLL,11343,2,2,2,increases^expression
MIB2,142678,2,2,1,increases^abundance|increases^methylation
MIR106B,406900,2,2,1,affects^expression|increases^abundance
MIR1179,100302235,2,2,1,decreases^methylation|increases^abundance
MIR124-2,406908,2,2,1,increases^abundance|increases^methylation
MIR1246,100302142,2,2,2,affects^methylation|increases^abundance; increases^expression
MIR15B,406949,2,2,1,affects^expression|increases^abundance
MIR1914,100302137,2,2,1,increases^abundance|increases^methylation
MIR374A,442919,2,2,1,affects^expression|increases^abundance
MIR4262,100422996,2,2,1,increases^abundance|increases^methylation
MIR4277,100422966,2,2,1,increases^abundance|increases^methylation
MIR548H4,100313884,2,2,1,increases^abundance|increases^methylation
MIR5579,100847000,2,2,1,increases^abundance|increases^methylation
MIR921,100126349,2,2,1,decreases^methylation|increases^abundance
MRPL10,124995,2,2,1,decreases^methylation|increases^abundance
MRPS36,66128,2,2,1,increases^abundance|increases^methylation
MSANTD1,345222,2,2,1,increases^abundance|increases^methylation
MSC,9242,2,2,1,decreases^methylation|increases^abundance
MSI1,4440,2,2,1,increases^abundance|increases^methylation
MUC4,4585,2,2,2,decreases^expression; increases^abundance|increases^methylation
MXRA5,25878,2,2,2,decreases^expression; increases^expression
